trade_date,ts_code,name,tier,portfolio_selected,portfolio_rank_in_cohort,pct_5d,pct_20d,market_med_20d,avg_amount_5d,avg_amount_20d,amount_ratio,is_breakout,final_score,entry_date,ret_5d_exit_date,ret_5d_status,entry_unbuyable_reason,ret_5d_t1,ret_5d_t1_net,ret_5d_csi1000,ret_5d_net_excess_csi1000,ret_5d_csi300,ret_5d_net_excess_csi300
20240131,002423.SZ,中粮资本,Tier2,True,1.0,19.50585175552664,36.95976154992549,-12.393694188119264,1313076890.1999998,408752692.0,3.2123993698370548,True,57.5,20240201,20240207,ok,,-14.022988505747126,-14.182988505747126,0.9299464517638079,-15.112934957510934,4.414821374078581,-18.597809879825707
20240229,002009.SZ,天奇股份,Tier2,True,1.0,27.059925093632977,18.722659667541564,2.941176470588247,516437146.2,198120999.4,2.6066754547170934,True,75.0,20240301,20240307,ok,,10.082150858849893,9.922150858849893,-0.9609055021536528,10.883056361003545,0.4170854956135006,9.505065363236392
20240229,000628.SZ,高新发展,Tier2,True,2.0,22.04034391534393,57.07597361140668,2.941176470588247,4386329092.999999,2171356817.6,2.020086729848578,True,55.0,20240301,20240307,ok,,15.989159891598902,15.829159891598902,-0.9609055021536528,16.790065393752556,0.4170854956135006,15.412074395985401
20240229,600640.SH,国脉文化,Tier2,True,3.0,19.799857040743408,55.90697674418605,2.941176470588247,696584078.4,319250039.1999999,2.181938897002335,True,62.5,20240301,20240307,ok,,-5.063291139240511,-5.223291139240511,-0.9609055021536528,-4.262385637086858,0.4170854956135006,-5.640376634854012
20240229,601127.SH,赛力斯,Tier2,True,4.0,16.929534469600615,41.43076923076925,2.941176470588247,7951762866.400001,4721151941.2,1.6842844639265855,True,62.5,20240301,20240307,ok,,3.215053763440845,3.055053763440845,-0.9609055021536528,4.015959265594498,0.4170854956135006,2.637968267827344
20240229,600571.SH,信雅达,Tier2,True,5.0,16.05734767025091,35.25480367585632,2.941176470588247,1904382511.9999995,672476715.65,2.831893607140388,True,62.5,20240301,20240307,ok,,-14.094387755102034,-14.254387755102034,-0.9609055021536528,-13.293482252948381,0.4170854956135006,-14.671473250715534
20240229,603516.SH,淳中科技,Tier2,True,6.0,15.75875486381324,31.78294573643412,2.941176470588247,470087790.8,195383232.95,2.405978157400533,True,67.5,20240301,20240307,ok,,-0.7500000000000062,-0.9100000000000062,-0.9609055021536528,0.05090550215364653,0.4170854956135006,-1.327085495613507
20240229,002673.SZ,西部证券,Tier2,True,7.0,14.020028612303292,27.113237639553446,2.941176470588247,2779103961.4,1023215487.25,2.7160495477537547,True,75.0,20240301,20240307,ok,,-9.746835443037972,-9.906835443037972,-0.9609055021536528,-8.94592994088432,0.4170854956135006,-10.323920938651472
20240229,603220.SH,中贝通信,Tier2,True,8.0,13.328845506563455,17.645003494060106,2.941176470588247,2038237965.2,1172011386.6999998,1.739093995442323,True,55.0,20240301,20240307,ok,,-1.0885554574874945,-1.2485554574874944,-0.9609055021536528,-0.28764995533384163,0.4170854956135006,-1.665640953100995
20240229,002902.SZ,铭普光磁,Tier2,True,9.0,12.029384756657468,17.195004803073964,2.941176470588247,777062183.0,443583214.4,1.7517844629244386,True,67.5,20240301,20240307,ok,,-2.650103519668723,-2.810103519668723,-0.9609055021536528,-1.8491980175150702,0.4170854956135006,-3.2271890152822236
20240229,002281.SZ,光迅科技,Tier2,True,10.0,6.265486725663716,13.626040878122623,2.941176470588247,1870244775.2,1159406081.9,1.6131058861922638,True,57.5,20240301,20240307,ok,,16.820580474934044,16.660580474934044,-0.9609055021536528,17.621485977087698,0.4170854956135006,16.243494979320545
20240329,603810.SH,丰山集团,Tier2,True,1.0,25.809435707678062,35.05461767626612,0.4229323308270638,315976109.1999999,159053237.54999998,1.9866059570190746,True,60.64,20240401,20240409,ok,,3.3033033033033066,3.1433033033033064,0.1340947188392505,3.009208584464056,-0.5094744411750063,3.6527777444783127
20240329,002130.SZ,沃尔核材,Tier2,True,2.0,13.7418755803157,74.7503566333809,0.4229323308270638,3372115473.8,1066219699.65,3.1626835209543955,True,75.0,20240401,20240409,ok,,-19.91836734693877,-20.07836734693877,0.1340947188392505,-20.21246206577802,-0.5094744411750063,-19.568892905763764
20240329,603626.SH,科森科技,Tier2,True,3.0,11.111111111111116,26.644736842105267,0.4229323308270638,565215744.4,197181852.95,2.866469383180629,True,63.9,20240401,20240409,ok,,-0.12771392081737387,-0.2877139208173739,0.1340947188392505,-0.4218086396566244,-0.5094744411750063,0.22176052035763238
20240329,603373.SH,安邦护卫,Tier2,True,4.0,7.89915966386554,37.130651477394096,0.4229323308270638,527659264.8,267027422.15,1.9760489786086188,True,60.64,20240401,20240409,ok,,1.8523489932885884,1.6923489932885885,0.1340947188392505,1.558254274449338,-0.5094744411750063,2.201823434463595
20240430,600727.SH,鲁北化工,Tier2,True,1.0,35.41666666666667,35.65217391304347,-0.6575783398862667,522090231.4,190172423.40000004,2.7453519393916492,True,56.98,20240506,20240510,ok,,8.678756476683947,8.518756476683947,0.2753770333971062,8.243379443286841,0.33465894062434387,8.184097536059603
20240628,002600.SZ,领益智造,Tier2,True,1.0,28.51985559566788,44.421906693711975,-5.922784775958906,2320700143.0,1332952863.4499998,1.7410219120528199,True,71.4,20240701,20240705,ok,,-6.000000000000005,-6.1600000000000055,-1.7113961968219793,-4.448603803178026,-0.7866115237716409,-5.373388476228365
20240731,002232.SZ,启明信息,Tier2,True,1.0,41.67137210615471,108.04311774461026,1.4255967496190958,1276295562.8,540497711.8000001,2.361333887149307,True,55.51,20240801,20240807,ok,,-21.719999999999995,-21.879999999999995,-3.0930482923051006,-18.786951707694897,-2.952267664306507,-18.927732335693488
20240731,000712.SZ,锦龙股份,Tier2,True,2.0,28.961748633879797,54.04699738903396,1.4255967496190958,855373477.9999999,404595921.65,2.1141426105128907,True,66.0,20240801,,pending_no_entry_limit_up,limit_up:stk_limit,,,,,,
20240731,600676.SH,交运股份,Tier2,True,3.0,25.87601078167117,66.78571428571429,1.4255967496190958,412820693.6,202236259.6,2.041279315670255,True,60.0,20240801,20240807,ok,,-19.444444444444443,-19.604444444444443,-3.0930482923051006,-16.51139615213934,-2.952267664306507,-16.652176780137935
20240731,600635.SH,大众公用,Tier2,True,4.0,20.80745341614907,45.149253731343286,1.4255967496190958,555704529.6,187724488.05,2.960213317785101,True,60.0,20240801,20240807,ok,,-8.378378378378393,-8.538378378378393,-3.0930482923051006,-5.445330086073293,-2.952267664306507,-5.586110714071886
20240731,002829.SZ,星网宇达,Tier2,True,5.0,12.764739553520332,60.03249390739236,1.4255967496190958,764944480.8000001,502714558.45,1.5216278660369877,True,57.4,20240801,20240807,ok,,15.192507804370447,15.032507804370447,-3.0930482923051006,18.125556096675545,-2.952267664306507,17.984775468676954
20240731,600841.SH,动力新科,Tier2,True,6.0,9.19037199124726,53.53846153846153,1.4255967496190958,416970192.2,223857374.7,1.862660065404582,True,61.9,20240801,20240807,ok,,-13.469387755102048,-13.629387755102048,-3.0930482923051006,-10.536339462796947,-2.952267664306507,-10.67712009079554
20240830,000062.SZ,深圳华强,Tier2,True,1.0,38.18960899839314,205.3254437869823,-1.387948544346651,2431197684.9999995,760753658.5500001,3.1957752127460988,True,69.4,20240902,20240906,ok,,48.392857142857146,48.23285714285715,-2.570761266160715,50.803618409017865,-2.303749199708116,50.536606342565264
20240830,002302.SZ,西部建设,Tier2,True,2.0,27.580372250423004,48.4251968503937,-1.387948544346651,703712082.0,204360426.10000005,3.4434850985075327,True,59.4,20240902,20240906,ok,,-16.84782608695652,-17.00782608695652,-2.570761266160715,-14.437064820795804,-2.303749199708116,-14.704076887248403
20240830,603666.SH,亿嘉和,Tier2,True,3.0,21.26034373010821,37.44588744588746,-1.387948544346651,423654128.6000001,190606149.7,2.222667680275796,True,55.0,20240902,20240906,ok,,-12.362637362637363,-12.522637362637363,-2.570761266160715,-9.95187609647665,-2.303749199708116,-10.218888162929247
20240930,600643.SH,爱建集团,Tier2,True,1.0,38.08463251670378,55.38847117794485,21.71256635307721,508314552.0,151356752.55000004,3.358387012380439,True,71.4,20241008,,pending_no_entry_limit_up,limit_up:stk_limit,,,,,,
20240930,002583.SZ,海能达,Tier2,True,2.0,27.290076335877856,68.01007556675063,21.71256635307721,1905729469.4000003,568221892.05,3.3538473192657423,True,71.1,20241008,,pending_no_entry_limit_up,limit_up:stk_limit,,,,,,
