ts_code,name,l2_name,final_score,tier,pct_20d_n,pct_5d_n,pct_60d,drawdown_20d,cat_score,l4_score,esp_score,l4_flag,cninfo_flag,entry_flag
600366.SH,宁波韵升,金属非金属新材料,79.18,Tier1,7.056936647955081,-4.025880661394687,-4.025880661394687,-4.232424677187952,79.95418098510882,100.0,25.97785262338988,,回测跳过,可直接观察
600578.SH,京能电力,未知,90.78,Tier2,34.2911877394636,35.328185328185334,34.03441682600381,0.0,88.65979381443299,100.0,20.887232186875494,LOCK|突破型|OVERHEAT,未检查,追高风险，周一确认
600415.SH,小商品城,未知,90.72,Tier2,12.520458265139101,4.324734446130507,-10.013089005235598,-3.169014084507038,88.31615120274914,100.0,21.11646570479562,,未检查,可直接观察
603268.SH,松发股份,未知,88.8,Tier2,42.610277398817644,-2.9102167182662453,83.60655737704919,-6.960185130243868,95.99083619702176,100.0,50.0,,未检查,追高风险，周一确认
002034.SZ,旺能环境,未知,88.49,Tier2,22.95782167645488,21.65874273639725,33.73983739837401,-3.2352941176470584,81.09965635738831,100.0,20.82397016440295,OVERHEAT,未检查,追高风险，周一确认
603738.SH,泰晶科技,元件,88.35,Tier2,104.71454880294661,7.484045639141357,240.98159509202452,-4.632807137954709,94.50171821305841,100.0,50.0,突破型,未检查,追高风险，周一确认
603978.SH,深圳新星,未知,88.11,Tier2,34.52380952380951,10.1364522417154,34.577213179833244,-2.249134948096887,93.69988545246277,100.0,50.0,OVERHEAT,未检查,追高风险，周一确认
000783.SZ,长江证券,未知,87.48,Tier2,15.573770491803284,-3.424657534246567,4.702970297029707,-8.441558441558438,77.20504009163804,100.0,21.60006222762266,,未检查,追高风险，周一确认
002176.SZ,江特电机,未知,84.12,Tier2,23.39449541284402,-12.148922273024176,45.72047670639219,-20.742486741308184,99.0836197021764,100.0,21.99921198604063,,未检查,追高风险，周一确认
603078.SH,江化微,未知,83.72,Tier2,33.14260563380282,5.732261447046483,21.730382293762563,0.0,98.3963344788087,100.0,20.98789623649115,OVERHEAT,未检查,追高风险，周一确认
002971.SZ,和远气体,未知,83.71,Tier2,39.22297297297297,20.25094835132768,28.741018431740084,0.0,98.51088201603666,100.0,20.761000345267465,LOCK|突破型|OVERHEAT,未检查,追高风险，周一确认
002975.SZ,博杰股份,未知,83.12,Tier2,32.294063506672785,9.057283763277702,48.95077720207253,-9.910686305233474,92.78350515463917,100.0,26.444939657673274,OVERHEAT,未检查,追高风险，周一确认
600207.SH,安彩高科,未知,82.91,Tier2,26.07879924953096,5.494505494505497,31.76470588235294,-2.749638205499283,96.10538373424971,100.0,20.36737907398659,OVERHEAT,未检查,追高风险，周一确认
002436.SZ,兴森科技,未知,82.9,Tier2,27.489878542510127,-5.064817606270733,40.76888690210101,-9.355210132412218,92.78350515463917,100.0,25.345378500333,,未检查,追高风险，周一确认
600984.SH,建设机械,未知,82.86,Tier2,19.477434679334916,3.073770491803285,14.840182648401834,-6.505576208178432,95.76174112256587,100.0,20.681959342593924,,未检查,追高风险，周一确认
