ts_code,symbol,name,list_date,delist_date,market,list_status,avg_amount_20d,pct_20d,l2_name,l1_name,l2_code,l1_code,close,pe,pe_ttm,pb,turnover_rate,total_mv,circ_mv,avg_amount_5d,vol_confirm,limit_20d,limit_10d,is_lock,is_breakout,high_20d,low_20d,pct_5d,pct_60d,drawdown_20d,has_crash_veto,pct_20d_n,market_med_20d,q0_dt_yoy,q1_dt_yoy,q0_profit_dedt,q0_dt_profit_ratio,q0_net_income,ttm_net_income,ttm_profit_dedt,ttm_ocf_ratio,roe,reduce_deduct,total_mv_n,avg_amt_5d_n,l1_leader,l1_score,l1_flag,itf_adj,l2_pe_mkt_pct,q0_dt_yoy_n,q1_dt_yoy_n,ind_med,esp_raw,l2_flags,pe_n,pb_n,roe_n,peg_n,pe_mean,val_bonus,val_penalty,close_n,high_20d_n,reduce_penalty,cat_score,cat_flag,mom_rank,l4_mom_ok,l4_rel_ok,l4_score,ind_mom_cnt,alpha_excess,alpha_flag,pct_5d_n,l4_flag,big_ratio,chasing_high,overheat_flag,z_group,esp_raw_w,esp_z,esp_score,egs_base,mult,deduct,final_score,tier
601808.SH,601808,中海油服,20070928,,主板,L,317749158.55,-9.762532981530347,未知,未知,,,13.71,17.0284,17.1691,1.3769,0.5647,6541852.632,4058801.628,308198355.8,True,0,0,False,False,15.35,13.66,-2.9787234042553234,-21.28883774453394,-10.879478827361567,False,-9.762532981530347,-3.057119871279157,-12.9,20.3,836200000.0,97.7223,,,9830200000.0,-195.1578,1.819,0,6541852.632,308198355.8,1.0,1.5,PASS,False,0.2857142857142857,-12.9,20.3,2.125,-15.025,ESP-Q,17.0284,1.3769,1.819,,87.7931712264151,0.0,0.0,13.71,15.35,0,65.2348224513173,,0.29770992366412213,0,0,5.0,158,-4.948275890356307,False,-2.9787234042553234,,-0.0002949655888326049,False,False,独立池,-15.025,0.0,21.89316319394644,26.44907937418448,0.7,0.0,18.51,Other
002185.SZ,002185,华天科技,20071120,,主板,L,3205532097.35,21.035856573705168,半导体,电子,801081.SI,270000,15.43,70.9479,61.7892,2.8133,10.4786,5040909.5282,5039718.5498,5666069123.599999,False,0,0,False,False,16.78,12.34,6.223776223776212,3.7568306010928865,-9.475566150178793,False,21.035856573705168,-3.057119871279157,113.77,499.77,11409181.13,13.1463,,,314362996.19,433.2181,0.4858,0,5040909.5282,5666069123.599999,1.0,1.5,PASS,False,0.8333333333333334,113.77,499.77,20.14,113.77,ESP-Q,70.9479,2.8133,0.4858,0.6236081568075943,137.7359375,0.0,0.0,15.43,16.78,0,91.29438717067583,CHASE,0.5714285714285714,0,1,40.0,9,2.1500690471409456,False,6.223776223776212,,0.0027470411238816003,True,False,半导体,113.77,-0.0378917439784738,32.0,53.78831615120275,0.7,0.0,37.65,Other
002182.SZ,002182,宝武镁业,20071113,,主板,L,361211022.8,-8.211678832116798,稀有金属,有色金属,801054.SI,240000,15.26,,,2.8657,2.9648,1513473.9099,1320761.1107,375338226.4,False,0,0,False,False,16.85,14.9,-2.8332260141661236,-21.651090342679137,-10.445103857566773,False,-8.211678832116798,-3.057119871279157,-96.15,-138.92,865955.91,17.0159,,,78706637.31,39369.0937,0.0964,0,1513473.9099,375338226.4,1.0,1.5,PASS,False,0.8809523809523809,-96.15,-138.92,52.894999999999996,-149.04500000000002,ESP-Q,,2.8657,0.0964,,107.82666666666667,0.0,0.0,15.26,16.85,0,65.2348224513173,,0.5625,0,0,5.0,5,0.24530562210953732,False,-2.8332260141661236,,-0.015694942809436525,False,False,稀有金属,-149.04500000000002,-1.014836519894953,22.0,26.470446735395193,0.7,0.0,18.53,Other
601088.SH,601088,中国神华,20071009,,主板,L,1539105770.35,-1.565898216615913,未知,未知,,,44.98,18.46,18.9189,1.9478,0.1666,97559075.4994,74176688.7216,1551757472.3999999,True,0,0,False,False,48.7,44.53,-0.9628008752735284,6.444026340545617,-7.063655030800831,False,-1.565898216615913,-3.057119871279157,,-19.2,,,,,111605000000.0,104.3638,2.3971,0,97559075.4994,1551757472.3999999,1.0,1.5,PASS,False,0.2857142857142857,,-19.2,2.125,0.0,DATA-INC,18.46,1.9478,2.3971,,87.7931712264151,0.0,0.0,44.98,48.7,0,65.2348224513173,,0.6164122137404581,0,0,5.0,158,3.2483588745581273,False,-0.9628008752735284,,0.002164724955303034,False,False,独立池,0.0,0.0,22.114757601627915,26.493398255720773,1.0,0.0,26.49,Other
601857.SH,601857,中国石油,20071105,,主板,L,2092916889.7,-1.5693112467306092,未知,未知,,,11.08,12.8916,12.7678,1.2483,0.09,202787243.4223,179409662.2223,1947603693.2,False,0,0,False,False,12.36,11.02,-1.9113814074717683,1.8034265103696878,-8.656957928802589,False,-1.5693112467306092,-3.057119871279157,5.0,-6.7,49579000000.0,102.5801,,,422240000000.0,120.3768,3.0108,0,202787243.4223,1947603693.2,1.0,1.5,PASS,False,0.2857142857142857,5.0,-6.7,2.125,5.0,ESP-Q,12.8916,1.2483,3.0108,2.57832,87.7931712264151,10.0,0.0,11.08,12.36,0,65.2348224513173,,0.6145038167938931,0,0,5.0,158,3.244945844443431,False,-1.9113814074717683,,0.004759926139840956,False,False,独立池,5.0,0.0,22.188499501022747,26.50814663559974,0.7,0.0,28.56,Other
002196.SZ,002196,方正电机,20071212,,主板,L,814539212.65,13.517241379310342,电机,电气设备,801731.SI,630000,16.74,395.0973,174.1153,5.8213,18.9895,830089.6108,817599.0213,1879753969.4000003,True,1,1,False,False,17.77,13.45,7.161458333333348,-6.742209631728036,-7.371975239167128,False,13.517241379310342,-3.057119871279157,155.12,158.54,9398410.83,80.8244,,,27561899.47,329.3512,0.8184,0,830089.6108,1879753969.4000003,1.0,1.5,PASS,False,0.9047619047619048,155.12,158.54,-11.325,177.76999999999998,,395.0973,5.8213,0.8184,2.5470429345023207,169.84244,0.0,10.0,16.74,17.77,0,87.0561282932417,,0.9090909090909091,1,1,100.0,4,7.57129543336439,True,7.161458333333348,,-0.013463691657497497,False,False,电机,177.76999999999998,0.23563259290617272,50.0,86.1168384879725,1.0,10.0,76.12,Tier1
002208.SZ,002208,合肥城建,20080128,,主板,L,1346020273.1500003,83.38582677165354,房地产开发,房地产,801181.SI,430000,21.67,,,2.9391,21.6429,1740733.5343,1740257.6026,3164831936.2,False,5,5,False,True,26.36,12.2,12.186897880539483,40.980629539951565,-11.6464339908953,False,83.38582677165354,-3.057119871279157,-762.92,-458.82,-30268415.07,,,,-641031737.0400001,-41.6704,-0.4194,0,1740733.5343,3164831936.2,1.0,1.5,PASS,False,0.6666666666666666,-762.92,-458.82,-25.055,-381.46,ESP-Q,,2.9391,-0.4194,,71.32621,0.0,0.0,21.67,26.36,0,89.8052691867125,CHASE,1.0,1,1,75.0,8,84.7930350440702,True,12.186897880539483,突破型|OVERHEAT,-0.034469624007549764,True,True,房地产开发,-381.46,-2.0620244945684205,12.0,66.84158075601374,0.7,0.0,46.79,Other
002190.SZ,002190,成飞集成,20071203,,主板,L,270617223.40000004,-6.60377358490567,汽车零部件,汽车,801093.SI,280000,30.24,,,2.4949,1.4493,1084797.5332,1084797.5332,327530444.59999996,True,1,1,False,False,36.38,28.8,-6.486146095717893,-18.83028149767697,-18.361737218251793,False,-6.60377358490567,-3.057119871279157,-19907.48,26.33,-22312606.52,,,,-122524052.57,,-0.5009,0,1084797.5332,327530444.59999996,1.0,1.5,PASS,False,0.47619047619047616,-19907.48,26.33,-7.74,-9953.74,,,2.4949,-0.5009,,70.26558985507246,0.0,0.0,30.24,36.38,0,79.15234822451318,,0.2702702702702703,0,0,5.0,23,-8.471117347644075,False,-6.486146095717893,,-0.026219442966433967,False,False,汽车零部件,-1499.4703,-5.602525007200784,5.0,27.245704467353953,1.0,0.0,27.25,Other
601390.SH,601390,中国中铁,20071203,,主板,L,715843969.85,-10.188679245283016,基础建设,建筑装饰,801723.SI,620000,4.73,5.1008,5.5012,0.3632,0.7007,11676582.9724,9686487.5024,667335688.4,False,0,0,False,False,5.32,4.75,-4.800000000000004,-21.322314049586776,-10.526315789473696,False,-10.188679245283016,-3.057119871279157,-29.91,-27.38,3892255000.0,89.2941,,,47026049000.0,-1329.7305,1.1696,0,11676582.9724,667335688.4,1.0,1.5,PASS,False,0.047619047619047616,-29.91,-27.38,-15.53,-14.955,ESP-Q,5.1008,0.3632,1.1696,,59.53485,0.0,0.0,4.73,5.32,0,67.23940435280642,,0.4117647058823529,0,0,5.0,6,-3.3671988388969556,False,-4.800000000000004,,0.004744594577579648,False,False,基础建设,-14.955,-0.41946086506394714,32.0,29.071821305841922,0.7,0.0,20.35,Other
601918.SH,601918,新集能源,20071219,,主板,L,520279508.34999996,13.0718954248366,未知,未知,,,8.63,10.466,10.3864,1.28,1.2496,2235637.5734,2235637.5734,488767252.8,True,0,0,False,False,9.3,7.45,-2.149321266968318,14.87383798140771,-6.989247311827961,False,13.0718954248366,-3.057119871279157,2.38,-10.37,550455525.11,100.41,,,5107928444.940001,90.9822,3.1847,0,2235637.5734,488767252.8,1.0,1.5,PASS,False,0.2857142857142857,2.38,-10.37,2.125,0.2549999999999999,,10.466,1.28,3.1847,4.397478991596638,87.7931712264151,10.0,0.0,8.63,9.3,0,65.2348224513173,,0.8702290076335878,1,1,100.0,158,17.88615251601064,True,-2.149321266968318,,-0.014226669500230767,False,False,独立池,0.2549999999999999,0.0,22.118518438497052,73.9941504230946,1.0,0.0,83.99,Tier2
