ts_code,symbol,name,list_date,market,avg_amount_20d,pct_20d,l2_name,l1_name,l2_code,l1_code,close,pe,pe_ttm,pb,turnover_rate,total_mv,circ_mv,avg_amount_5d,vol_confirm,limit_20d,limit_10d,is_lock,is_breakout,high_20d,pct_5d,pct_60d,drawdown_20d,has_crash_veto,pct_20d_n,market_med_20d,q0_dt_yoy,q1_dt_yoy,q0_profit_dedt,q0_dt_profit_ratio,q0_net_income,ttm_net_income,ttm_profit_dedt,ttm_ocf_ratio,roe,reduce_deduct,total_mv_n,avg_amt_5d_n,l1_leader,l1_score,l1_flag,itf_adj,l2_pe_mkt_pct,q0_dt_yoy_n,q1_dt_yoy_n,ind_med,esp_raw,l2_flags,pe_n,pb_n,roe_n,peg_n,pe_mean,val_bonus,val_penalty,close_n,high_20d_n,reduce_penalty,cat_score,cat_flag,mom_rank,l4_mom_ok,l4_rel_ok,l4_score,ind_mom_cnt,alpha_excess,alpha_flag,pct_5d_n,l4_flag,big_ratio,chasing_high,overheat_flag,z_group,esp_raw_w,esp_z,esp_score,egs_base,mult,deduct,final_score,tier
600850.SH,600850,电科数字,19940324,主板,384234827.70000005,5.740922473012766,计算机应用,未知,801222.SI,710000,21.55,44.5799,48.2784,2.9858,5.9429,1465828.2869,1465828.2869,815637551.1999999,False,2,2,False,False,23.92,15.860215053763426,-22.81518624641834,-9.90802675585285,False,5.740922473012766,-3.057119871279157,-47.63,-42.54,25533532.45,101.177,,,688889328.0799999,-3974.7442,0.515,0,1465828.2869,815637551.1999999,1.0,1.5,PASS,False,0.7627118644067796,-47.63,-42.54,-4.9399999999999995,-23.815,ESP-Q,44.5799,2.9858,0.515,,143.4918742857143,0.0,0.0,21.55,23.92,0,65.922107674685,,0.8269230769230769,1,1,75.0,16,9.723644670412634,True,15.860215053763426,OVERHEAT,0.022460822487400466,False,True,计算机应用,-23.815,-0.1264031367263152,32.0,63.6766323024055,0.7,0.0,44.57,Other
600855.SH,600855,航天长峰,19940425,主板,477270608.1,-9.836875926841337,计算机设备,未知,801101.SI,710000,18.24,,,6.1123,4.0145,854621.9359,852974.8639,359890751.0,True,1,1,False,False,22.0,-7.4581430745814465,-6.748466257668717,-17.0909090909091,False,-9.836875926841337,-3.057119871279157,12.5599,33.3914,-40139985.67,,,,-365576595.52000004,,-2.6294,0,854621.9359,359890751.0,1.0,1.5,PASS,False,0.7288135593220338,12.5599,33.3914,7.12,12.5599,,,6.1123,-2.6294,,116.38087647058823,0.0,0.0,18.24,22.0,0,65.922107674685,,0.25,0,0,5.0,8,-7.951053416018826,False,-7.4581430745814465,,-0.009227022110820528,False,False,计算机设备,12.5599,-0.2720102256672323,32.0,28.6766323024055,1.0,0.0,28.68,Other
600859.SH,600859,王府井,19940506,主板,175643205.9,-9.480626545754333,一般零售,未知,801203.SI,450000,10.98,,,0.635,1.375,1234076.7036,1233963.2143,157154043.79999998,False,0,0,False,False,12.49,-5.507745266781406,-22.51235003528581,-12.089671737389907,False,-9.480626545754333,-3.057119871279157,8.91,-153.1508,29416702.73,56.9634,,,-71512103.02000001,354.6451,0.2661,0,1234076.7036,157154043.79999998,1.0,1.5,PASS,False,0.576271186440678,8.91,-153.1508,-2.645,14.2,ESP-Q,,0.635,0.2661,,44.26595714285714,0.0,0.0,10.98,12.49,0,65.922107674685,,0.6666666666666666,0,0,5.0,4,1.1474597403064841,False,-5.507745266781406,,-0.012626017258095834,False,False,一般零售,14.2,0.028179921997883085,50.0,32.2766323024055,0.7,0.0,22.59,Other
600863.SH,600863,华能蒙电,19940520,主板,665063330.9999999,16.250000000000007,电力,未知,801161.SI,410000,5.58,17.5342,17.8905,2.0959,6.0258,4372035.7745,3642003.3985,1349970400.4,False,1,1,False,False,5.96,15.289256198347111,18.976545842217483,-6.375838926174493,False,16.250000000000007,-3.057119871279157,-6.82,-17.5,693857049.12,99.9266,,,6314734392.27,86.4729,3.6923,0,4372035.7745,1349970400.4,1.0,1.5,PASS,False,0.3050847457627119,-6.82,-17.5,0.02,-6.84,,17.5342,2.0959,3.6923,,55.30460465116279,10.0,0.0,5.58,5.96,0,86.25429553264605,CHASE,0.9545454545454546,1,1,85.0,14,16.484651984978292,True,15.289256198347111,OVERHEAT,0.005553136613611201,True,True,电力,-6.84,-0.12291382067690304,32.0,74.7762886597938,1.0,0.0,84.78,Tier2
600864.SH,600864,哈投股份,19940809,主板,448983678.4500001,-19.027181688125893,证券,未知,801193.SI,490000,5.66,33.8651,38.1662,0.9129,1.9908,1177602.9143,1177602.9143,186466014.0,False,0,0,False,False,7.69,-1.736111111111105,-11.700468018720745,-26.39791937581275,False,-19.027181688125893,-3.057119871279157,-29.03,10.92,75245171.21,94.6822,,,1261967623.6599998,187.7821,0.6142,0,1177602.9143,186466014.0,1.0,1.5,PASS,False,0.03389830508474576,-29.03,10.92,31.015,-60.045,,33.8651,0.9129,0.6142,,30.001145454545455,0.0,0.0,5.66,7.69,0,65.922107674685,,0.022727272727272728,0,0,5.0,14,-17.143374062539934,False,-1.736111111111105,,-0.005205613054560106,False,False,证券,-60.045,-0.9388199734824065,22.0,26.6766323024055,1.0,0.0,26.68,Other
600871.SH,600871,石化油服,19950411,主板,382974451.45000005,-11.439114391143912,化学纤维,未知,801032.SI,220000,2.4,69.056,70.5116,4.7331,1.581,4549690.9999,3251282.9642,408228914.59999996,False,0,0,False,False,2.78,-5.511811023622048,-18.08873720136519,-13.669064748201432,False,-11.439114391143912,-3.057119871279157,-7.5,237.9,202727000.0,99.0115,,,1625518000.0,169.6594,2.1705,0,4549690.9999,408228914.59999996,1.0,1.5,PASS,False,0.6610169491525424,-7.5,237.9,33.59,-41.09,,69.056,4.7331,2.1705,,122.71699000000001,0.0,0.0,2.4,2.78,0,65.922107674685,,0.3,0,0,5.0,4,-3.346544320210766,False,-5.511811023622048,,0.002299053188098479,False,False,化学纤维,-41.09,0.02523915526109543,50.0,32.2766323024055,1.0,0.0,32.28,Other
600873.SH,600873,梅花生物,19950217,主板,487607736.90000004,-13.309024612579767,食品加工,未知,801124.SI,340000,9.51,8.1284,11.2047,1.6244,0.8481,2666833.8092,2666833.8092,299634633.8,True,0,0,False,False,10.99,4.851157662624028,-13.702359346642467,-13.466787989080986,False,-13.309024612579767,-3.057119871279157,-91.13,-18.22,80256263.63,68.0594,,,5933554313.85,-829.7018,0.7198,0,2666833.8092,299634633.8,1.0,1.5,PASS,False,0.288135593220339,-91.13,-18.22,8.68,-99.81,ESP-Q,8.1284,1.6244,0.7198,,51.683299999999996,0.0,0.0,9.51,10.99,0,62.77205040091638,,0.17647058823529413,0,0,5.0,6,-16.826429387502316,False,4.851157662624028,,-0.015370719486905793,False,False,食品加工,-99.81,-0.6319729997697014,22.0,25.73161512027491,0.7,0.0,18.01,Other
600877.SH,600877,电科芯片,19951013,主板,409161848.6,-8.847497089639111,半导体,未知,801081.SI,270000,15.66,426.1927,620.9784,7.4068,2.4924,1854237.1645,1854237.1645,400505087.4,False,0,0,False,False,18.14,-3.5714285714285587,-18.053375196232334,-13.671444321940463,False,-8.847497089639111,-3.057119871279157,-159.75,-30.65,-4165858.91,,,,5727005.550000002,-70193.554,-0.0483,0,1854237.1645,400505087.4,1.0,1.5,PASS,False,0.8813559322033898,-159.75,-30.65,21.265,-181.015,ESP-Q,426.1927,7.4068,-0.0483,,141.87467999999998,0.0,0.0,15.66,18.14,0,54.29553264604811,,0.043478260869565216,0,0,5.0,7,-29.855318097460128,False,-3.5714285714285587,,-0.003282430193334134,False,False,半导体,-181.015,-0.8489553115056753,22.0,23.18865979381443,0.7,0.0,16.23,Other
600880.SH,600880,博瑞传播,19951115,主板,168804066.00000003,-14.909090909090917,文化传媒,未知,801761.SI,720000,4.68,,,1.7044,2.2163,511679.4191,511538.1219,125277039.4,False,0,0,False,False,5.52,-6.400000000000006,-20.272572402044297,-15.217391304347828,False,-14.909090909090917,-3.057119871279157,5647.63,-1062.56,6817546.25,97.5604,,,-30443236.75,-64.8278,0.2322,0,511679.4191,125277039.4,1.0,1.5,PASS,False,0.864406779661017,5647.63,-1062.56,-15.175,5677.9800000000005,ESP-Q,,1.7044,0.2322,,118.69075000000001,0.0,0.0,4.68,5.52,0,65.922107674685,,0.1875,0,0,5.0,5,-13.706635189663913,False,-6.400000000000006,,-0.002858544322363906,False,False,文化传媒,2014.9280000000006,2.2210881207063817,82.0,38.6766323024055,0.7,0.0,27.07,Other
600882.SH,600882,妙可蓝多,19951206,主板,153634586.45,-8.38958534233365,食品加工,未知,801124.SI,340000,19.0,81.7851,86.7943,2.0848,1.051,969101.9293,969101.9293,118488711.4,True,0,0,False,False,21.09,-0.9384775808133461,-14.568345323741006,-9.909909909909908,False,-8.38958534233365,-3.057119871279157,-1.48,235.94,63981435.64,84.6786,,,443776263.33,63.9464,1.6408,0,969101.9293,118488711.4,1.0,1.5,PASS,False,0.288135593220339,-1.48,235.94,8.68,-10.16,,81.7851,2.0848,1.6408,,51.683299999999996,0.0,0.0,19.0,21.09,0,75.94501718213058,,0.4117647058823529,0,0,5.0,6,-11.9069901172562,False,-0.9384775808133461,,-0.006079313892379604,False,False,食品加工,-10.16,-0.06272705251291298,32.0,31.683505154639178,1.0,0.0,31.68,Other
