ts_code,symbol,name,list_date,delist_date,market,list_status,avg_amount_20d,pct_20d,l2_name,l1_name,l2_code,l1_code,close,pe,pe_ttm,pb,turnover_rate,total_mv,circ_mv,avg_amount_5d,vol_confirm,limit_20d,limit_10d,is_lock,is_breakout,high_20d,low_20d,pct_5d,pct_60d,drawdown_20d,has_crash_veto,pct_20d_n,market_med_20d,q0_dt_yoy,q1_dt_yoy,q0_profit_dedt,q0_dt_profit_ratio,q0_net_income,ttm_net_income,ttm_profit_dedt,ttm_ocf_ratio,roe,reduce_deduct,total_mv_n,avg_amt_5d_n,l1_leader,l1_score,l1_flag,itf_adj,l2_pe_mkt_pct,q0_dt_yoy_n,q1_dt_yoy_n,ind_med,esp_raw,l2_flags,pe_n,pb_n,roe_n,peg_n,pe_mean,val_bonus,val_penalty,close_n,high_20d_n,vol_shrink,reduce_penalty,cat_score,cat_flag,mom_rank,l4_mom_ok,l4_rel_ok,l4_score,ind_mom_cnt,alpha_excess,alpha_flag,pct_5d_n,l4_flag,big_ratio,chasing_high,overheat_flag,z_group,esp_raw_w,esp_z,esp_score,egs_base,mult,deduct,final_score,tier
603823.SH,603823,百合花,20161220,,主板,L,158374736.55000004,35.5350066050198,未知,未知,,,20.52,51.1816,52.0707,3.4116,4.5592,854386.5286,854386.5286,314105008.8,False,0,0,False,False,21.72,15.11,13.495575221238942,11.582381729200652,-5.524861878453036,False,35.5350066050198,1.410939133031408,-10.63,0.81,39849658.77,92.8064,,,422813473.55,133.9827,1.7294,0,854386.5286,314105008.8,1.0,1.5,PASS,False,0.4444444444444444,-10.63,0.81,1.0,-11.63,,51.1816,3.4116,1.7294,,99.46392506573181,0.0,0.0,20.52,21.72,False,0,50.0,COV-LOW,0.9426605504587156,1,1,75.0,393,33.77069248776451,True,13.495575221238942,OVERHEAT,-0.007094856137770219,True,True,独立池,-11.63,0.0,20.670855615785808,56.63417112315716,1.0,0.0,56.63,Tier2
002960.SZ,002960,青鸟智控,20190809,,主板,L,202878616.8,-19.999999999999996,未知,未知,,,9.8,32.3091,32.7431,1.6777,2.0301,1032659.9335,948856.5124,189833108.0,True,0,0,False,False,12.68,9.71,-4.854368932038833,-14.634146341463417,-22.71293375394321,False,-19.999999999999996,1.410939133031408,-25.6,-8.68,47454730.2,73.3359,,,724000511.23,-349.8696,1.0196,0,1032659.9335,189833108.0,1.0,1.5,PASS,False,0.4444444444444444,-25.6,-8.68,1.0,-26.6,ESP-Q,32.3091,1.6777,1.0196,,99.46392506573181,0.0,0.0,9.8,12.68,False,0,77.20504009163804,,0.016819571865443424,0,0,5.0,393,-21.764314117255292,False,-4.854368932038833,,-0.018248132886400422,False,False,独立池,-26.6,0.0,20.452141417999684,29.75194031109135,0.7,0.0,20.83,Other
603638.SH,603638,艾迪精密,20170120,,主板,L,234005388.09999996,29.1646070192783,未知,未知,,,26.13,55.1631,49.0147,5.9619,1.945,2171635.0605,2171635.0605,279908596.0,True,0,0,False,False,26.86,20.16,2.270058708414857,12.387096774193541,-2.717795979151161,False,29.1646070192783,1.410939133031408,46.53,13.32,127519890.36,84.2052,,,970725135.62,5.0329,4.0409,0,2171635.0605,279908596.0,1.0,1.5,PASS,False,0.4444444444444444,46.53,13.32,1.0,46.53,,55.1631,5.9619,4.0409,1.185538362346873,99.46392506573181,0.0,0.0,26.13,26.86,False,0,73.25315005727376,CHASE,0.9105504587155964,1,1,100.0,393,27.400292902023004,True,2.270058708414857,OVERHEAT,-0.026770920232988937,True,True,独立池,46.53,0.0,21.520582919943536,76.28006160117084,1.0,0.0,76.28,Tier2
601020.SH,601020,华钰矿业,20160316,,主板,L,1128258254.5,-5.131761442441052,工业金属,未知,801055.SI,240000,27.36,25.7648,26.2195,5.2171,3.6017,2243423.4137,2243423.4137,924152824.8,False,0,0,False,False,34.08,27.1,-9.403973509933772,-12.53196930946292,-19.718309859154925,False,-5.131761442441052,1.410939133031408,-28.61,78.72,33216155.86,108.7002,,,1026033106.12,-459.3285,0.7084,0,2243423.4137,924152824.8,1.0,1.5,PASS,False,0.2222222222222222,-28.61,78.72,-28.61,-14.305,ESP-Q,25.7648,5.2171,0.7084,,25.102225,0.0,0.0,27.36,34.08,False,0,72.16494845360825,,0.5,0,0,0.0,2,-4.318345124287326,False,-9.403973509933772,TIER2_FORCED,-0.0029930006273962417,False,False,全市场,-14.305,-0.7673218135002852,22.0,26.049484536082474,0.7,0.0,18.23,Tier2
603039.SH,603039,DR泛微网,20170113,,主板,L,499631308.1,8.064516129032251,未知,未知,,,46.9,41.6484,37.029,4.5409,4.7484,1202356.329,1202356.329,470428029.6,True,0,0,False,False,49.99,41.89,-5.538771399798592,-9.98080614203456,-6.181236247249455,False,8.064516129032251,1.410939133031408,109.45,60.52,49863193.45,80.2552,,,461246303.53,-222.6362,2.4492,0,1202356.329,470428029.6,1.0,1.5,PASS,False,0.4444444444444444,109.45,60.52,1.0,109.45,ESP-Q,41.6484,4.5409,2.4492,0.3805244403837369,99.46392506573181,0.0,0.0,46.9,49.99,False,0,84.65063001145475,,0.6674311926605505,0,1,55.0,393,6.300202011776957,True,-5.538771399798592,,0.009239330402994921,False,False,独立池,109.45,0.0,22.4398546183205,57.38315992710052,0.7,0.0,40.17,Other
603037.SH,603037,凯众股份,20170120,,主板,L,151673123.95000002,4.141208418194164,未知,未知,,,15.34,55.6448,58.0077,4.1216,9.7054,409457.2742,408266.6448,279323596.59999996,True,1,1,False,False,15.62,13.33,8.028169014084519,-11.12398609501739,-1.7925736235595346,False,4.141208418194164,1.410939133031408,-17.85,-18.98,9970381.18,104.6762,,,149744826.89,-254.9091,0.9317,1,409457.2742,279323596.59999996,1.0,1.5,PASS,False,0.4444444444444444,-17.85,-18.98,1.0,-18.85,ESP-Q,55.6448,4.1216,0.9317,,99.46392506573181,0.0,0.0,15.34,15.62,False,10,50.0,COV-LOW,0.5680428134556575,0,1,55.0,393,2.37689430093887,False,8.028169014084519,OVERHEAT,0.03441718024665158,False,True,独立池,-18.85,0.0,20.565370211108732,46.61307404222175,0.7,10.0,22.63,Other
603626.SH,603626,科森科技,20170209,,主板,L,1013454589.8500001,6.016597510373445,未知,未知,,,25.55,,110.9438,6.2254,8.0826,1417717.608,1417717.608,1047912601.0000001,True,0,0,False,False,28.84,21.88,-7.494569152787833,-4.127579737335829,-11.407766990291258,False,6.016597510373445,1.410939133031408,6.4273,0.7023,-87584451.48,-22.7213,,,-844043966.88,-13.9918,18.4742,0,1417717.608,1047912601.0000001,1.0,1.5,PASS,False,0.4444444444444444,6.4273,0.7023,1.0,6.4273,ESP-Q,,6.2254,18.4742,,99.46392506573181,0.0,0.0,25.55,28.84,False,0,88.43069873997709,,0.6253822629969419,0,1,55.0,393,4.25228339311815,False,-7.494569152787833,,-0.014850704152235574,False,False,独立池,6.4273,0.0,20.934675781696527,58.216144778332435,0.7,0.0,40.75,Other
002850.SZ,002850,科达利,20170302,,主板,L,1195600278.95,4.077046548956664,未知,未知,,,194.52,30.407,29.1856,3.9234,3.5405,5363890.3227,3872480.3897,1115387651.2,True,1,0,False,False,215.99,182.33,-0.8966782147951879,8.615779775531852,-9.94027501273207,False,4.077046548956664,1.410939133031408,27.19,19.96,448908745.72,97.3486,,,4029944524.37,43.5007,3.3842,0,5363890.3227,1115387651.2,1.0,1.5,PASS,False,0.4444444444444444,27.19,19.96,1.0,27.19,,30.407,3.9234,3.3842,1.1183155571901433,99.46392506573181,0.0,0.0,194.52,215.99,False,0,87.39977090492555,,0.5665137614678899,0,1,55.0,393,2.3127324317013698,False,-0.8966782147951879,,-0.011780137393844418,False,False,独立池,27.19,0.0,21.238022293010758,57.96753573007982,1.0,0.0,57.97,Tier2
603040.SH,603040,新坐标,20170209,,主板,L,176110271.8,3.0966297724163816,未知,未知,,,82.9,42.3909,42.5004,7.2739,2.7999,1131219.3778,1125318.9703,208464165.79999998,True,1,1,False,False,87.18,74.0,1.7552473303056315,-22.15231477134002,-4.909382885983026,False,3.0966297724163816,1.410939133031408,0.15,31.63,62181248.17,94.0301,,,641641168.56,70.393,4.3292,0,1131219.3778,208464165.79999998,1.0,1.5,PASS,False,0.4444444444444444,0.15,31.63,1.0,-0.85,,42.3909,7.2739,4.3292,282.60600000000005,99.46392506573181,0.0,0.0,82.9,87.18,False,0,31.958762886597935,CAT-0,0.5420489296636085,0,1,55.0,393,1.332315655161087,False,1.7552473303056315,,0.0009419845090870492,False,False,独立池,-0.85,0.0,20.828353214458787,41.25329950887114,0.5,0.0,20.63,Other
002867.SZ,002867,周大生,20170427,,主板,L,199055921.44999996,-3.218390804597704,未知,未知,,,12.63,12.4268,11.9784,2.0235,0.9146,1370953.5269,1362899.2635,126663877.39999999,False,1,1,False,False,13.97,12.11,-4.53514739229025,-2.244582043343646,-9.591982820329271,False,-3.218390804597704,1.410939133031408,16.14,7.52,280896916.37,95.7341,,,2776691804.41,-52.7976,4.4264,0,1370953.5269,126663877.39999999,1.0,1.5,PASS,False,0.4444444444444444,16.14,7.52,1.0,16.14,ESP-Q,12.4268,2.0235,4.4264,0.7699380421313506,99.46392506573181,10.0,0.0,12.63,13.97,True,0,80.29782359679267,,0.3363914373088685,0,0,5.0,393,-4.982704921852998,False,-4.53514739229025,,0.002607373357532806,False,False,独立池,16.14,0.0,21.07657994928753,30.80466306889531,0.7,0.0,31.56,Other
603032.SH,603032,德新科技,20170105,,主板,L,432133623.0500001,12.512413108242292,未知,未知,,,22.66,124.1843,76.8827,4.5186,6.2523,528493.2884,524948.4486,438333002.2,False,1,0,False,False,26.48,19.45,-14.16666666666666,18.4526921066388,-14.425981873111782,False,12.512413108242292,1.410939133031408,1790.5064,121.9633,24917498.04,99.2396,,,113609526.75999999,82.5977,2.1718,0,528493.2884,438333002.2,1.0,1.5,PASS,False,0.4444444444444444,1790.5064,121.9633,1.0,1790.5064,,124.1843,4.5186,2.1718,0.06935708244326856,99.46392506573181,0.0,0.0,22.66,26.48,False,0,73.25315005727376,,0.7545871559633027,1,1,75.0,393,10.748098990986998,True,-14.16666666666666,,-0.013414869210968164,False,False,独立池,1790.5064,0.0,47.00036911125538,68.8760188394332,1.0,0.0,68.88,Tier2
