ts_code,name,l2_name,final_score,tier,pct_20d_n,pct_5d_n,pct_60d,drawdown_20d,cat_score,l4_score,esp_score,l4_flag,cninfo_flag,entry_flag
600415.SH,小商品城,一般零售,95.36,Tier1,9.635627530364378,-1.5272727272727327,-9.853528628495345,-5.710306406685239,84.5360824742268,100.0,50.0,,通过,可直接观察
601799.SH,星宇股份,汽车零部件,90.55,Tier1,9.05581718520805,3.8600102933607827,-7.0413266649118285,-3.246575342465763,68.49942726231386,100.0,50.0,,通过,可直接观察
601995.SH,中金公司,证券,86.63,Tier1,0.6189213085764811,1.4863258026159398,-1.4718614718614687,-2.3175965665236165,88.77434135166094,100.0,50.0,,通过,可直接观察
603127.SH,昭衍新药,医疗服务,85.97,Tier1,14.419475655430713,7.032032032032043,23.008340523439742,0.0,65.2348224513173,100.0,82.0,,通过,可直接观察
000567.SZ,海德股份,多元金融,83.94,Tier1,14.869888475836435,-3.4375000000000044,8.231173380035028,-12.3404255319149,67.81214203894616,100.0,68.0,,通过,可直接观察
002111.SZ,威海广泰,航空装备,83.51,Tier1,8.917835671342678,-4.565408252853387,-4.899387576552938,-7.014542343883667,86.71248568155785,75.0,50.0,,通过,可直接观察
000006.SZ,深振业Ａ,房地产开发,79.57,Tier1,8.169596690796288,7.61316872427984,12.837108953613829,-7.022222222222219,65.2348224513173,100.0,50.0,,通过,可直接观察
603950.SH,长源东谷,汽车零部件,79.13,Tier1,11.976351351351354,-5.096635647816738,70.93862815884478,-14.925564681724834,88.77434135166094,85.0,50.0,,通过,可直接观察
002833.SZ,弘亚数控,专用设备,78.85,Tier1,9.179793590439989,-6.987505784359083,7.200000000000006,-10.746003552397864,83.16151202749141,75.0,32.0,,通过,资金流背离
600605.SH,汇通能源,一般零售,77.64,Tier1,2.67536704730833,-4.780635400907707,13.5691086250451,-10.875106202209018,70.79037800687286,100.0,32.0,,通过,可直接观察
002196.SZ,方正电机,电机,76.12,Tier1,13.517241379310342,7.161458333333348,-6.742209631728036,-7.371975239167128,87.0561282932417,100.0,50.0,,通过,题材过热
600366.SH,宁波韵升,金属非金属新材料,73.99,Tier1,-0.3909304143862258,-4.569288389513105,-11.21951219512195,-8.608321377331418,88.31615120274914,55.0,50.0,,通过,可直接观察
603259.SH,药明康德,医疗服务,71.06,Tier1,5.763571790969069,1.0666149520023316,4.053109713487069,-8.969432314410476,73.8831615120275,65.0,32.0,,通过,可直接观察
002752.SZ,昇兴股份,包装印刷,69.03,Tier1,1.7391304347825987,-3.703703703703709,4.309063893016329,-10.573248407643309,81.09965635738831,100.0,50.0,,通过,可直接观察
603337.SH,杰克科技,专用设备,68.85,Tier1,2.6663344131572453,-1.0091302258529389,-7.436531116602996,-7.519640852974174,83.16151202749141,55.0,32.0,,通过,可直接观察
