feature_family,feature,feature_value,all_sample_count,all_bad_5d_rate_pct,all_bad_10d_rate_pct,all_bad_20d_rate_pct,all_mean_5d_t1_net,all_monthly_t_5d_t1_net,all_win_rate_5d_pct,all_mean_10d_t1_net,all_monthly_t_10d_t1_net,all_win_rate_10d_pct,all_mean_20d_t1_net,all_monthly_t_20d_t1_net,all_win_rate_20d_pct,discovery_sample_count,discovery_bad_5d_rate_pct,discovery_bad_10d_rate_pct,discovery_bad_20d_rate_pct,discovery_mean_5d_t1_net,discovery_monthly_t_5d_t1_net,discovery_win_rate_5d_pct,discovery_mean_10d_t1_net,discovery_monthly_t_10d_t1_net,discovery_win_rate_10d_pct,discovery_mean_20d_t1_net,discovery_monthly_t_20d_t1_net,discovery_win_rate_20d_pct,validation_sample_count,validation_bad_5d_rate_pct,validation_bad_10d_rate_pct,validation_bad_20d_rate_pct,validation_mean_5d_t1_net,validation_monthly_t_5d_t1_net,validation_win_rate_5d_pct,validation_mean_10d_t1_net,validation_monthly_t_10d_t1_net,validation_win_rate_10d_pct,validation_mean_20d_t1_net,validation_monthly_t_20d_t1_net,validation_win_rate_20d_pct,discovery_bad20_lift_pctpt,validation_bad20_lift_pctpt,discovery_mean20_delta_pct,validation_mean20_delta_pct,candidate_flag
score,final_score_bucket_fine,lt_60,73,31.506849315068493,34.24657534246575,43.83561643835616,-0.5549790485127493,0.6934495811714365,36.986301369863014,0.4142341977374753,0.9439621012260446,39.726027397260275,-0.5520164007977523,0.7585527875801437,36.986301369863014,47,34.04255319148936,31.914893617021278,42.5531914893617,-0.7156580292319136,0.024024552091474687,38.297872340425535,1.5988641774024255,0.7197503159076318,46.808510638297875,1.0106306219858925,0.654294786442619,38.297872340425535,26,26.923076923076923,38.46153846153847,46.15384615384615,-0.2645208910588749,0.7836969749330291,34.61538461538461,-1.7272123039645497,0.6338064708369656,26.923076923076923,-3.3768014035220344,0.35561472860204535,34.61538461538461,12.018840344323532,20.29177718832891,-1.4770357621512877,-6.479405308127243,candidate_negative
fundamental,q1_dt_yoy_bucket,q1_-100_-30,21,28.57142857142857,42.857142857142854,42.857142857142854,0.4373414306933197,0.6747258479124492,52.38095238095239,-0.08828556429331133,0.264424406781007,47.61904761904761,1.2023028858819615,1.2014895629059292,38.095238095238095,14,42.857142857142854,57.14285714285714,50.0,-1.9482916441186036,-0.3842215710335392,42.857142857142854,-1.6124030257324617,-0.404927009784624,35.714285714285715,1.2002040898948787,0.9522362052667985,42.857142857142854,7,0.0,14.285714285714285,28.57142857142857,5.208607580317166,1.3459463284668123,71.42857142857143,2.959949358584989,0.9737908581261578,71.42857142857143,1.206500477856127,0.6309939531320897,28.57142857142857,19.46564885496183,2.7093596059113274,-1.2874622942423015,-1.8961034267490813,candidate_negative
fundamental,q1_dt_yoy_bucket,q1_30_100,76,26.31578947368421,34.21052631578947,40.78947368421053,-0.5428040613302971,0.16052031997807872,43.42105263157895,-0.44359087691659305,0.042198427504237815,44.73684210526316,1.3485457646165582,1.1150464989834485,40.78947368421053,29,31.03448275862069,34.48275862068966,44.827586206896555,-1.212901213753509,-0.0862406016842431,34.48275862068966,-1.4160315369389735,-0.29686782121672295,41.37931034482759,-0.3999220297461476,0.5914550597986498,41.37931034482759,47,23.404255319148938,34.04255319148936,38.297872340425535,-0.12933986089895358,0.2875719090585078,48.93617021276596,0.15642570054402485,0.2491480423655549,46.808510638297875,2.4273875951807815,0.9848947155163529,40.42553191489361,14.293235061858386,12.435803374908293,-2.8875884138833277,-0.6752163094244268,candidate_negative
fundamental,q1_dt_yoy_bucket,<NA>,5,20.0,20.0,60.0,-1.3594233738380845,-0.44958922411348295,40.0,-3.8824274720512464,-1.2336427257034333,60.0,-6.392552324566583,-2.7230109963869844,40.0,2,0.0,0.0,50.0,3.9290429328877097,,100.0,1.6219933568525517,,100.0,-2.244751707206373,,50.0,3,33.33333333333333,33.33333333333333,66.66666666666666,-4.885067578321947,,0.0,-7.552041357987111,,33.33333333333333,-9.157752736140056,,33.33333333333333,19.46564885496183,40.80459770114942,-4.732418091343553,-12.260356640745265,observation
industry_l2,l2_name,化学原料,6,33.33333333333333,33.33333333333333,33.33333333333333,-2.1578995535380296,-1.5535042886165265,50.0,-2.965854262918008,-1.6985639359887952,50.0,-0.5883578322858175,0.03906783815494299,33.33333333333333,4,25.0,25.0,25.0,-1.4319585006127216,,75.0,-1.2417479814596573,,75.0,2.896388248787892,,50.0,2,50.0,50.0,50.0,-3.6097816593886463,,0.0,-6.414066825834709,,0.0,-7.557849994433237,,0.0,-5.534351145038169,24.137931034482758,0.4087218646507118,-10.660453899038446,observation
industry_l1,l1_name,建筑装饰,7,0.0,14.285714285714285,14.285714285714285,2.862047397368209,0.7062848797256648,57.14285714285714,3.7412056242556795,0.5980495569798562,71.42857142857143,0.23594896395722995,-0.809214456948226,57.14285714285714,6,0.0,0.0,0.0,3.9929621069654213,0.9497682818124419,66.66666666666666,5.3770696440689045,0.975475004972816,83.33333333333334,1.4668150099214285,-0.061361107999343946,66.66666666666666,1,0.0,100.0,100.0,-3.9234408602150617,,0.0,-6.073978494623673,,0.0,-7.149247311827962,,0.0,-30.53435114503817,74.13793103448276,-1.0208513742157517,-10.25185121643317,observation
industry_l2,l2_name,装修装饰,1,0.0,100.0,100.0,-3.9234408602150617,,0.0,-6.073978494623673,,0.0,-7.149247311827962,,0.0,0,,,,,,,,,,,,,1,0.0,100.0,100.0,-3.9234408602150617,,0.0,-6.073978494623673,,0.0,-7.149247311827962,,0.0,,74.13793103448276,,-10.25185121643317,observation
industry_l1,l1_name,商业贸易,5,20.0,20.0,60.0,-3.0336324038499556,-1.0297976296660207,40.0,0.7236234129221055,0.3018376688001944,80.0,0.4605675634616116,0.10502714669117288,40.0,3,33.33333333333333,33.33333333333333,33.33333333333333,-6.235828541852765,-1.5886327204148143,0.0,-1.1055563792109506,-0.2856865179819723,66.66666666666666,5.5188867710538005,0.9866536907840637,66.66666666666666,2,0.0,0.0,100.0,1.7696618031542588,,100.0,3.4673931011216896,,100.0,-7.126911247926672,,0.0,2.7989821882951595,74.13793103448276,3.0312203869166203,-10.22951515253188,observation
industry_l2,l2_name,一般零售,5,20.0,20.0,60.0,-3.0336324038499556,-1.0297976296660207,40.0,0.7236234129221055,0.3018376688001944,80.0,0.4605675634616116,0.10502714669117288,40.0,3,33.33333333333333,33.33333333333333,33.33333333333333,-6.235828541852765,-1.5886327204148143,0.0,-1.1055563792109506,-0.2856865179819723,66.66666666666666,5.5188867710538005,0.9866536907840637,66.66666666666666,2,0.0,0.0,100.0,1.7696618031542588,,100.0,3.4673931011216896,,100.0,-7.126911247926672,,0.0,2.7989821882951595,74.13793103448276,3.0312203869166203,-10.22951515253188,observation
score,final_score_bucket_fine,90_plus,1,100.0,100.0,100.0,-18.55684625492773,,0.0,-10.803889618922486,,0.0,-6.467490144546657,,0.0,0,,,,,,,,,,,,,1,100.0,100.0,100.0,-18.55684625492773,,0.0,-10.803889618922486,,0.0,-6.467490144546657,,0.0,,74.13793103448276,,-9.570094049151866,observation
