period_split,sample_count,bad_5d_rate_pct,bad_10d_rate_pct,bad_20d_rate_pct,mean_5d_t1_net,monthly_t_5d_t1_net,win_rate_5d_pct,mean_10d_t1_net,monthly_t_10d_t1_net,win_rate_10d_pct,mean_20d_t1_net,monthly_t_20d_t1_net,win_rate_20d_pct
all,305,18.688524590163937,26.557377049180324,27.86885245901639,0.6287054214352595,0.913713166534362,51.80327868852459,0.9799844759189401,1.0350346130355457,54.09836065573771,2.8384831990927104,1.5956887814008023,51.147540983606554
discovery,131,23.66412213740458,31.297709923664126,30.53435114503817,-0.38671976616385256,0.22048781862258948,44.274809160305345,-0.07523766583225558,0.2749164855242184,49.61832061068702,2.48766638413718,0.7079055213821146,45.80152671755725
validation,174,14.942528735632186,22.988505747126435,25.862068965517242,1.3931922006047057,1.0477415714623413,57.47126436781609,1.774433329766105,1.383006217220479,57.47126436781609,3.1026039046052083,1.7690682588225393,55.172413793103445
