score,group,period_split,sample_count_5d,mean_return_pct_5d,monthly_t_5d,win_rate_pct_5d,sample_count_10d,mean_return_pct_10d,monthly_t_10d,win_rate_pct_10d,sample_count_20d,mean_return_pct_20d,monthly_t_20d,win_rate_pct_20d
final_score,lt_60,all,70,-0.8570653772688852,-0.3208528238221713,35.714285714285715,70,0.043962046077437374,0.12882413739145174,40.0,70,-1.4409765197463171,0.09180631790145184,35.714285714285715
final_score,lt_60,discovery,45,-0.6556624210416384,-0.06414190433219212,37.77777777777778,45,1.8192641610856002,0.6604280134817885,48.888888888888886,45,0.296956319558336,0.6001469291569987,37.77777777777778
final_score,lt_60,validation,25,-1.21959069847793,-1.122324972333134,32.0,25,-3.1515817609372556,-1.2358211497247498,24.0,25,-4.569255630494694,-3.8186284382438744,32.0
final_score,60_70,all,41,0.8258957615067906,0.2962618583600158,51.21951219512195,41,1.9752326267204694,0.3083050377388191,53.65853658536586,41,6.507958861709987,1.0124822894978924,63.41463414634146
final_score,60_70,discovery,15,-0.8046858068464803,0.19781931639410186,33.33333333333333,15,-1.5280960236518284,-0.3151018146404562,33.33333333333333,15,5.8844373352195465,0.6141325684861291,53.333333333333336
final_score,60_70,validation,26,1.7666158970952162,0.21814631259484232,61.53846153846154,26,3.9963837711660264,0.6448054045060687,65.38461538461539,26,6.867682819300627,0.7672504884510847,69.23076923076923
final_score,70_75,all,28,2.3044276533129007,1.1319729392920295,64.28571428571429,28,-2.4042666882772283,-1.6189416845170796,46.42857142857143,28,1.2077655794805262,-0.33075630079040114,50.0
final_score,70_75,discovery,12,1.0992648420247109,0.40393076961175284,58.333333333333336,12,-6.54096835266034,-1.584388239826508,33.33333333333333,12,0.9979407105296229,0.11696179271746854,50.0
final_score,70_75,validation,16,3.208299761779044,1.033040803880627,68.75,16,0.6982595600101056,-0.7066845543348119,56.25,16,1.3651342311937038,-0.6070052179911026,50.0
final_score,75_80,all,133,0.6120642859424992,0.39222384761244555,53.383458646616546,133,1.2936473026858875,0.3432165963122678,60.150375939849624,133,3.7440616781860645,1.0853528295257215,53.383458646616546
final_score,75_80,discovery,52,-0.5232777300900907,0.34512879838716476,48.07692307692308,52,0.08423459250448967,0.04910898434194359,55.769230769230774,52,4.446462401482358,0.594347724028883,51.92307692307693
final_score,75_80,validation,81,1.3409258270992235,0.2002924225042102,56.79012345679012,81,2.0700604005801178,0.4863469455599502,62.96296296296296,81,3.293137757057579,0.9210155932395141,54.32098765432099
final_score,ge_80,all,33,2.1805902848995187,1.2464770457242202,69.6969696969697,33,3.336295765116856,1.294183000480193,66.66666666666666,33,5.090963010642673,1.4382150710418258,60.60606060606061
final_score,ge_80,discovery,7,0.70486722035635,0.8029007600125485,57.14285714285714,7,0.7585486147986488,0.7251061598868801,71.42857142857143,7,-2.7052330699836857,-1.6383224084641135,28.57142857142857
final_score,ge_80,validation,26,2.577900340738064,0.987067045736328,73.07692307692307,26,4.03030461327945,1.1095602150254864,65.38461538461539,26,7.1899388785036145,1.9725536956452125,69.23076923076923
esp_score,low_lt_50,all,55,1.2157448232958483,1.5300454254712939,54.54545454545454,55,-0.09258531776345916,0.2956006053199603,54.54545454545454,55,2.912174369304886,1.4114324069150206,52.72727272727272
esp_score,low_lt_50,discovery,29,0.24835913539388627,0.5177564967793779,41.37931034482759,29,-2.555628872314852,-0.25923082567087263,44.827586206896555,29,1.901962201394911,0.8405183447479663,48.275862068965516
esp_score,low_lt_50,validation,26,2.29475193672496,2.170277452734425,69.23076923076923,26,2.654655570005402,0.8629431167393785,65.38461538461539,26,4.038949479666012,1.0849289366706765,57.692307692307686
esp_score,neutral_50,all,177,0.9890472401821905,0.594455886039831,52.54237288135594,177,1.4879943246725378,0.837063780579187,56.49717514124294,177,3.549406128766261,2.1230722141957807,51.9774011299435
esp_score,neutral_50,discovery,75,-0.050413223512739386,0.06555552595638356,46.666666666666664,75,0.7031658969628314,-0.08999174541872462,53.333333333333336,75,3.0027079271483417,0.7102658009172838,48.0
esp_score,neutral_50,validation,102,1.753356404663756,0.7065917279031171,56.86274509803921,102,2.065074050929675,1.5228231499020015,58.82352941176471,102,3.9513901005441436,3.1556420465413466,54.90196078431373
esp_score,high_gt_50,all,73,-0.6872900445995231,-0.3176492362275819,47.94520547945205,73,0.5563350981538056,0.30428934806993296,47.94520547945205,73,1.0592178167106816,0.12711399736382797,47.94520547945205
esp_score,high_gt_50,discovery,27,-2.003026390015997,-2.0451582717284076,40.74074074074074,27,0.4266541037367713,0.22305568214363036,44.44444444444444,27,1.6860851090886113,0.030658395855598694,37.03703703703704
esp_score,high_gt_50,validation,46,0.08498998423188525,0.2437221268786093,52.17391304347826,46,0.6324522035724993,0.19264130837738228,50.0,46,0.6912739711845056,0.14639562931235692,54.347826086956516
l4_score,lt_70,all,43,0.1906920248085512,-0.4335320711888431,44.18604651162791,43,-0.37589988595144896,-0.4258233575726165,39.53488372093023,43,-1.6365354843589457,-0.1136441940897543,32.55813953488372
l4_score,lt_70,discovery,22,2.3974967949779296,-0.07515668642855733,50.0,22,2.693400435389533,-0.021375142938321472,54.54545454545454,22,1.3217860481833554,0.2278728799982208,31.818181818181817
l4_score,lt_70,validation,21,-2.121198686797464,-1.3633234705360773,38.095238095238095,21,-3.591357365451524,-0.759734471150006,23.809523809523807,21,-4.735729470831832,-1.3898308578726342,33.33333333333333
l4_score,70_99,all,33,-1.0000182620978082,-1.041983197974045,48.484848484848484,33,1.5237314338499688,0.5527236861522123,54.54545454545454,33,4.576003687240614,0.9237354002062395,60.60606060606061
l4_score,70_99,discovery,11,-0.7574799551512971,-1.1370691695538653,45.45454545454545,11,3.073594328761567,0.3282245478750689,63.63636363636363,11,4.674327505368437,0.0720801233077827,63.63636363636363
