replay_variant,period_split,window,sample_count,mean_return_pct,monthly_t,win_rate_pct
tier1_only,all,5,305,0.6287054214352595,0.913713166534362,51.80327868852459
tier1_only,all,10,305,0.9799844759189401,1.0350346130355457,54.09836065573771
tier1_only,all,20,305,2.8384831990927104,1.5956887814008023,51.147540983606554
tier1_only,discovery,5,131,-0.38671976616385256,0.22048781862258948,44.274809160305345
tier1_only,discovery,10,131,-0.07523766583225558,0.2749164855242184,49.61832061068702
tier1_only,discovery,20,131,2.48766638413718,0.7079055213821146,45.80152671755725
tier1_only,validation,5,174,1.3931922006047057,1.0477415714623413,57.47126436781609
tier1_only,validation,10,174,1.774433329766105,1.383006217220479,57.47126436781609
tier1_only,validation,20,174,3.1026039046052083,1.7690682588225393,55.172413793103445
score_ge_60,all,5,235,1.0712754465811751,1.2492527746250688,56.59574468085107
score_ge_60,all,10,235,1.2587996677866218,0.8272246921720867,58.29787234042553
score_ge_60,all,20,235,4.113215881300081,1.6774138080863645,55.74468085106383
score_ge_60,discovery,5,86,-0.2459939583789645,0.5952425299216384,47.674418604651166
score_ge_60,discovery,10,86,-1.0665467613125292,0.049156451423323734,50.0
score_ge_60,discovery,20,86,3.633968162114482,0.7399004144631824,50.0
score_ge_60,validation,5,149,1.8315785930682356,1.142028772348401,61.74496644295302
score_ge_60,validation,10,149,2.6009459288774073,1.2575368384534242,63.08724832214765
score_ge_60,validation,20,149,4.389828658816601,1.791965337617111,59.06040268456376
score_ge_65,all,5,212,1.187066905157425,1.656291774709874,57.54716981132076
score_ge_65,all,10,212,1.2609729945154402,1.2565195817502484,58.490566037735846
score_ge_65,all,20,212,3.911176723287138,1.771384073280295,55.188679245283026
score_ge_65,discovery,5,77,-0.11127933196874791,0.9621340596889597,49.35064935064935
score_ge_65,discovery,10,77,-0.8632842690916872,0.5567738810332945,51.94805194805194
score_ge_65,discovery,20,77,3.3884180049412898,0.704638093226771,50.649350649350644
score_ge_65,validation,5,135,1.927605129296057,1.3445947689161346,62.22222222222222
score_ge_65,validation,10,135,2.472586396720987,1.440787527105437,62.22222222222222
score_ge_65,validation,20,135,4.209342807084399,1.9745140766406064,57.77777777777777
drop_q1_30_100,all,5,229,1.017503328379287,1.032715526063602,54.58515283842795
drop_q1_30_100,all,10,229,1.4524374314451434,1.295873158860038,57.20524017467249
drop_q1_30_100,all,20,229,3.3329602515826133,1.6843775912292425,54.58515283842795
drop_q1_30_100,discovery,5,102,-0.15182504086875423,0.1924091133867056,47.05882352941176
drop_q1_30_100,discovery,10,102,0.3059684347765171,0.434601771773279,51.9607843137255
drop_q1_30_100,discovery,20,102,3.308647403770676,0.8087933483859246,47.05882352941176
drop_q1_30_100,validation,5,127,1.9566489477753517,1.368900231894572,60.629921259842526
drop_q1_30_100,validation,10,127,2.3732235547538036,1.8591969790648564,61.417322834645674
drop_q1_30_100,validation,20,127,3.3524871057307837,1.801124443346857,60.629921259842526
drop_q1_neg_100_30,all,5,284,0.6428555756802623,0.9252584585524359,51.76056338028169
drop_q1_neg_100_30,all,10,284,1.058976274667029,1.0334399111061081,54.5774647887324
drop_q1_neg_100_30,all,20,284,2.9594683630977308,1.5130569892507277,52.112676056338024
drop_q1_neg_100_30,discovery,5,117,-0.19986501153678835,0.23661669415773773,44.44444444444444
drop_q1_neg_100_30,discovery,10,117,0.10869665073699973,0.21540338182603774,51.28205128205128
drop_q1_neg_100_30,discovery,20,117,2.6417217013969423,0.6053460507616018,46.15384615384615
drop_q1_neg_100_30,validation,5,167,1.2332646098383153,1.0343684333770105,56.886227544910184
drop_q1_neg_100_30,validation,10,167,1.724741041132978,1.4142645139611678,56.886227544910184
drop_q1_neg_100_30,validation,20,167,3.1820812937503793,1.780951785533445,56.287425149700596
