strategy_variant,subset,period_split,window,variant,period_count,mean_period_return_pct,median_period_return_pct,compounded_return_pct,max_drawdown_pct,worst_period_return_pct,best_period_return_pct,win_rate_pct,std_pct,monthly_t,sharpe_monthly
baseline,all,all,5,close,24,0.8214244418242655,1.4508431996558375,18.966607307817117,-15.48520822249706,-9.540427387661113,10.268346643879314,62.5,4.461374745841088,0.901995846278368,0.1841191311243246
baseline,all,all,5,t1,24,0.3712985214349142,1.2431684590093228,6.084374186348218,-22.215351956530505,-13.445458750685514,10.055814205003356,62.5,5.038128814594978,0.3610435355009864,0.07369770307565338
baseline,all,all,5,t1_net,24,0.21129852143491398,1.0831684590093227,2.0894161554415147,-22.868304182684984,-13.605458750685518,9.895814205003356,62.5,5.0381288145949785,0.20546261517598044,0.041939880699914285
baseline,all,all,5,excess_csi300,24,0.4833840779496213,1.060526291450032,11.106436650000395,-12.204709492205435,-6.520009086272386,4.9533840552148085,62.5,3.0022069701054024,0.7887826206204108,0.16100957820794431
baseline,all,all,5,excess_csi1000,24,0.9107629036320941,1.4854811235075769,23.728401591701175,-8.381435576366481,-3.99317755053952,3.6833127237310754,75.0,2.021397737702704,2.207288896137418,0.45056095920398426
baseline,all,all,5,excess_eligible,24,0.524432860129138,0.3115339437903604,12.91710002022992,-4.287622481624254,-2.12795913289035,6.717134959084374,58.333333333333336,1.9037865060431167,1.3495136220234092,0.2754683145743763
baseline,all,all,10,close,24,0.9709935078835269,1.6398432384449255,22.838257524192752,-20.49922611008431,-8.592060336283874,8.941392556249394,66.66666666666666,4.791040364302435,0.9928693799331209,0.20266861350580614
baseline,all,all,10,t1,24,0.5216128011132487,1.7496690390187037,9.417738091261985,-27.903397294691434,-12.786570438788601,8.690937351587591,66.66666666666666,5.455449390489697,0.4684069504003283,0.09561316837116277
baseline,all,all,10,t1_net,24,0.36161280111324884,1.589669039018704,5.301617943130932,-28.74634664604955,-12.946570438788601,8.530937351587594,66.66666666666666,5.455449390489697,0.3247273629666968,0.06628469539899616
baseline,all,all,10,excess_csi300,24,0.4438149328336863,0.5387997287794701,9.553319344507806,-15.194213567664184,-6.407342756885899,7.285572287305943,62.5,3.6240223925545907,0.5999522121626867,0.12246473248771485
