trade_date,ts_code,name,rank,final_score,rank_bucket,l1_name,l2_name,l4_flag,entry_flag,risk_reasons,pct_20d_n,drawdown_20d,q1_dt_yoy,esp_raw,ret_5d_t1_net,ret_10d_t1_net,ret_20d_t1_net
20240131,002269.SZ,美邦服饰,6,75.0,top_6_10,纺织服装,服装家纺,,可直接观察,none,11.976047904191622,-5.076142131979688,87.04,0.0,-18.777021276595725,-11.862127659574458,-11.862127659574458
20240229,000683.SZ,博源化工,10,75.0,top_6_10,化工,化学原料,,可直接观察,none,12.453531598513012,-3.3546325878594296,,0.0,1.164503311258285,2.157880794701988,-7.444768211920534
20240229,002138.SZ,顺络电子,15,75.0,top_11_15,电子,元件,,可直接观察,none,10.69410815173526,-3.585237258347973,24.5,30.44,-1.35999999999999,2.349090909090905,-5.978181818181834
20240329,002115.SZ,三维通信,8,75.0,top_6_10,通信,通信运营,,可直接观察,none,5.287713841368591,-2.1676300578034717,12.03,0.0,-9.357080291970794,-26.437372262773724,-15.342481751824828
20240329,600325.SH,华发股份,9,75.0,top_6_10,房地产,房地产开发,,可直接观察,none,4.129793510324475,-3.945578231292513,0.65,0.0,-5.371267605633796,-12.272676056338012,-11.85014084507043
20240329,002933.SZ,新兴装备,13,71.4,top_11_15,国防军工,航空装备,,可直接观察,none,13.8270704122583,-7.937444673945116,123.29,0.0,-3.9299680511182,-22.62006389776357,-11.4379552715655
20240329,001979.SZ,招商蛇口,2,81.4,top_1_5,房地产,房地产开发,,可直接观察,none,5.94170403587444,-5.688622754491024,27.47,69.23,-6.542978723404264,-10.0536170212766,-10.0536170212766
20240329,002567.SZ,唐人神,7,75.0,top_6_10,农林牧渔,饲料,,可直接观察,none,5.733558178752096,-3.834355828220859,-5713.93,0.0,-0.4810272873194309,-14.606227929374011,-7.062086677367592
20240329,000876.SZ,新希望,6,75.0,top_6_10,农林牧渔,畜禽养殖,,可直接观察,none,6.3973063973064015,-3.951367781155002,-79.68,0.0,2.0622222222222364,-7.24994708994709,-5.768465608465596
20240430,000589.SZ,贵州轮胎,2,75.0,top_1_5,汽车,汽车零部件,,可直接观察,none,9.726962457337862,-7.87965616045846,130.22,103.56,1.0632415902140748,-3.0651987767584,-9.78232791244758
20240531,000697.SZ,炼石航空,5,71.4,top_1_5,国防军工,航空装备,,可直接观察,none,10.838150289017335,-18.31735889243877,65.27,14.91,-8.382811671087538,-13.687851458885945,-21.778037135278517
20240531,002567.SZ,唐人神,13,56.4,top_11_15,农林牧渔,饲料,,资金流背离,none,14.141414141414144,-7.75510204081632,-1575.51,9.75,-7.774942528735647,-13.80942528735632,-18.263448275862068
20240531,002046.SZ,国机精工,8,59.98,top_6_10,机械设备,通用机械,,可直接观察,none,5.719557195571956,-5.9113300492610765,19.61,52.58,-6.077667238421953,-6.549486905903496,-11.271816426034238
20240531,000791.SZ,甘肃能源,9,58.9,top_6_10,公用事业,电力,,可直接观察,low_base_growth,6.151419558359628,-15.874999999999996,75.86,214.68,-7.74226037195996,-7.0269527896995765,-10.885112857316589
20240531,000722.SZ,湖南发展,11,56.98,top_11_15,公用事业,电力,,可直接观察,low_base_growth,6.958250497017882,-13.64365971107545,-64.7,1227.24,-6.550977443609036,-8.060277852181914,-9.765093390777508
20240628,000883.SZ,湖北能源,9,56.1,top_6_10,公用事业,电力,,可直接观察,none,1.520270270270263,-4.451510333863284,70.85,187.55,-1.16166944908181,-4.667512520868106,-11.512253756260444
20240628,603160.SH,汇顶科技,3,71.1,top_1_5,电子,半导体,,可直接观察,none,11.263958569347787,-4.513888888888884,115.3569,194.2184,-1.4284064732468302,0.6710249307479145,-8.922210234728086
20240628,001389.SZ,广合科技,11,56.1,top_11_15,电子,元件,,可直接观察,none,-2.461873638344214,-10.816733067729078,55.4,139.75,-2.0839373601789624,3.3299328859060218,-8.661118568232668
20240628,001286.SZ,陕西能源,2,81.4,top_1_5,公用事业,电力,,可直接观察,none,4.249547920433994,-6.86591276252021,4.18,0.120000000000001,4.55615720524019,3.5081222707423576,-5.836855895196498
20240628,600803.SH,新奥股份,14,52.5,top_11_15,公用事业,燃气,,可直接观察,none,14.348543155579986,-4.499540863177232,-47.35,7.47,1.5226923076922907,-3.285,-5.833076923076903
20240731,603005.SH,晶方科技,14,52.5,top_11_15,电子,半导体,,可直接观察,none,8.333333333333325,-12.722751761292994,-43.28,92.74,-9.419259259259256,-10.84376068376069,-17.44395061728394
20240731,600487.SH,亨通光电,7,58.9,top_6_10,通信,通信设备,,可直接观察,none,1.7670157068062853,-5.757575757575751,31.74,33.0377,-6.52363636363636,-11.978181818181817,-16.45870129870129
20240731,600372.SH,中航机载,11,52.5,top_11_15,国防军工,航空装备,,可直接观察,none,11.265164644714057,-0.1555209953343683,110.19,99.01,-0.0033829287392216,-4.701895066562251,-13.942302270947522
20240731,002371.SZ,北方华创,5,62.5,top_1_5,电子,半导体,,可直接观察,none,8.147353136146984,-4.594820384294063,70.05,100.91,-7.407514390371535,-8.45408686551545,-11.814747369033093
20240731,600893.SH,航发动力,9,55.02,top_6_10,国防军工,航空装备,,可直接观察,low_base_growth,11.873944850872252,-3.6821705426356655,45.85,444.82,-1.4691641490432847,-5.698771399798581,-11.388600201409869
20240731,002241.SZ,歌尔股份,10,55.02,top_6_10,电子,电子制造,,可直接观察,low_base_growth,10.756562017498704,-10.33333333333334,-47.16,1722.92,-8.646238532110091,-5.664587155963292,-11.134148600342348
20240731,002138.SZ,顺络电子,3,78.6,top_1_5,电子,元件,,可直接观察,none,5.367793240556673,-9.370725034199722,60.88,156.73,-6.160759589821492,-7.110246866691979,-10.528401063425736
20240731,002897.SZ,意华股份,13,52.5,top_11_15,通信,通信设备,,可直接观察,low_base_growth,9.338747099768009,-12.731481481481476,-49.67,724.8577,-8.175873015872998,-10.95365079365079,-9.445714285714274
20240731,002916.SZ,深南电路,15,52.5,top_11_15,电子,元件,,可直接观察,none,5.349833412660643,-15.273311897106112,-33.46,87.43,-10.468285163776498,-5.397344543702937,-9.382280609563836
20240731,603345.SH,安井食品,1,78.6,top_1_5,食品饮料,食品加工,,可直接观察,none,9.403005652833295,-2.626089090685979,36.8,54.95,0.1445298819946751,-0.4772186270777755,-8.902545362263677
20240731,600161.SH,天坛生物,2,78.6,top_1_5,医药生物,生物制品,,可直接观察,none,7.386609071274308,-4.677914110429448,29.35,35.660000000000004,-2.012597664115985,-2.0931453886427542,-5.798340716874746
20240731,600436.SH,片仔癀,4,67.5,top_1_5,医药生物,中药,,可直接观察,none,5.793137742416721,-8.407955915274668,15.26,28.23,-2.4871028037383125,-3.814205607476635,-5.052523364485991
20241031,000532.SZ,华金资本,6,52.5,top_6_10,非银金融,多元金融,,可直接观察,low_base_growth,13.745173745173744,-4.783451842275377,695.38,31.03,3.4356580732700026,-1.381166892808689,-6.197991858887382
20241031,002793.SZ,罗欣药业,5,57.5,top_1_5,医药生物,化学制药,,资金流背离,none,13.022113022113002,-8.730158730158733,59.54,26.75,3.543703703703698,-5.388758169934656,-5.824488017429204
20241129,002819.SZ,东方中科,1,75.0,top_1_5,机械设备,通用机械,,可直接观察,none,13.064798598949224,-9.04480135249366,13.1,29.4,-2.391174465447794,3.310715835141002,-10.479181902696006
20241129,002565.SZ,顺灏股份,6,56.1,top_6_10,轻工制造,包装印刷,,可直接观察,low_base_growth,7.668711656441718,-12.903225806451625,1006.5,237.25,5.268571428571427,5.840000000000005,-9.87428571428572
20241129,603131.SH,上海沪工,8,52.5,top_6_10,机械设备,通用机械,,可直接观察,none,12.419825072886304,-17.3596228032576,72.37,36.9,-1.6153014553014386,7.792182952182962,-8.73588357588357
20241129,000066.SZ,中国长城,12,50.0,top_11_15,计算机,计算机设备,突破型,可直接观察,none,6.186868686868685,-31.318905675786024,41.1992,24.5745,4.120618311533879,-4.55952437574317,-8.72123662306777
20241129,603607.SH,京华激光,7,55.0,top_6_10,轻工制造,包装印刷,,可直接观察,none,11.421772754312933,-12.964684014869889,20.28,28.42,-6.390366492146599,7.641047120418847,-8.58931937172775
20241231,600694.SH,大商股份,3,62.5,top_1_5,商业贸易,一般零售,,可直接观察,none,12.165036154827735,-11.420893516963382,19.11,64.29,-4.880213170917398,-8.610704225352123,-5.603471640654751
20250127,600618.SH,氯碱化工,3,75.0,top_1_5,化工,化学原料,,可直接观察,none,12.861415752741776,-11.076197957580526,46.63,0.0,-7.059563318777292,-11.251703056768566,-10.989694323144102
20250228,000739.SZ,普洛药业,15,75.0,top_11_15,医药生物,化学制药,,可直接观察,none,12.425249169435215,-1.4560279557367497,0.4,0.0,0.6669344359125741,-9.906012994683994,-10.14227997637331
20250228,600552.SH,凯盛科技,6,75.0,top_6_10,电子,光学光电子,,可直接观察,none,14.27304964539009,-5.4292002934702825,-94.74,0.0,0.6842056792018482,7.284359171143522,-9.82999232540292
20250228,600503.SH,华丽家族,4,75.0,top_1_5,房地产,房地产开发,,可直接观察,none,14.403292181069949,-13.125000000000009,-149.9,0.0,-1.5988489208632892,0.5594244604316502,-8.793093525179858
20250228,002426.SZ,胜利精密,14,75.0,top_11_15,电子,电子制造,,可直接观察,none,12.62458471760799,-13.520408163265296,24.93,0.0,8.148605341246288,11.115964391691406,-6.688189910979244
20250228,600814.SH,杭州解百,2,75.0,top_1_5,商业贸易,一般零售,,可直接观察,none,14.819944598337951,-14.624098867147284,-12.12,0.0,0.3190419161676773,3.432814371257491,-5.549221556886215
20250331,002947.SZ,恒铭达,12,76.1,top_11_15,电子,电子制造,,可直接观察,none,6.6022099447513805,-9.028760018859028,67.49,67.95,-28.030129870129866,-22.965194805194805,-19.30285714285714
20250331,002906.SZ,华阳集团,8,78.6,top_6_10,汽车,汽车零部件,,可直接观察,none,5.056513979773958,-4.925975773889634,61.31,43.47,-22.932277227722786,-14.643734087694488,-16.143026874116
20250331,000423.SZ,东阿阿胶,4,81.4,top_1_5,医药生物,中药,,可直接观察,none,4.4221799965451725,-1.3866231647634453,52.33,76.41000000000001,0.9656414500910638,4.011494785631524,-10.770826022181751
20250331,601799.SH,星宇股份,14,75.0,top_11_15,汽车,汽车零部件,,可直接观察,none,10.626506024096384,-1.8737532060416284,38.77,30.17,-11.084308588064047,-9.111965065502188,-8.027540029112085
20250331,600362.SH,江西铜业,7,78.6,top_6_10,有色金属,工业金属,,可直接观察,none,10.081223124701388,-9.040663245163838,44.28,54.22,-14.667772020725373,-9.011468048359246,-7.672953367875641
20250331,603993.SH,洛阳钼业,1,91.4,top_1_5,有色金属,工业金属,,可直接观察,low_base_growth,11.929307805596467,-9.415971394517298,530.97,110.48000000000002,-18.55684625492773,-10.803889618922486,-6.467490144546657
20250331,600211.SH,XD西藏药,10,77.4,top_6_10,医药生物,生物制品,,可直接观察,none,8.771428571428563,-4.825000000000001,-6.22,-30.675,-5.560469606052704,-3.4211531437516274,-5.086221956148691
20250430,002371.SZ,北方华创,2,85.0,top_1_5,电子,半导体,,可直接观察,none,5.0698974836905775,-4.37659033078881,61.58,55.53,-4.101926968763743,-4.471482622085361,-6.721812582490112
20250530,600363.SH,联创光电,14,71.4,top_11_15,电子,电子制造,,可直接观察,none,12.805329385640274,-7.002288329519447,-41.19,0.715,-3.2269895076674726,2.180597255851495,-5.922759277110375
20250630,002355.SZ,兴民智通,6,71.1,top_6_10,汽车,汽车零部件,,可直接观察,low_base_growth,7.277628032345018,-4.09638554216868,17.35,286.92,-5.358019801980191,-5.234257425742568,-18.47683168316832
20250630,605319.SH,无锡振华,5,77.5,top_1_5,汽车,汽车零部件,,可直接观察,none,12.925619834710725,-12.923782819270969,39.32,20.98,-3.266508875739633,-6.491360946745546,-8.296094674556205
20250630,600160.SH,巨化股份,4,78.6,top_1_5,化工,化学制品,,可直接观察,none,7.054871220604708,-1.5447991761071034,131.4,173.94,-0.5789944134078139,-5.257765363128493,-7.247988826815639
20250731,600862.SH,中航高科,5,72.5,top_1_5,国防军工,航空装备,,可直接观察,none,5.1312649164677815,-4.962243797195254,13.0,0.19,0.1041509433962241,-5.06566037735849,-5.06566037735849
20250829,600744.SH,华银电力,7,59.06,top_6_10,公用事业,电力,,可直接观察,low_base_growth,14.68428781204112,-8.86814469078181,1.4618,1461.47,-10.887969348659006,-14.46395913154534,-20.211085568326943
20250829,001359.SZ,平安电工,8,58.9,top_6_10,化工,塑料,,可直接观察,none,14.42590775269872,-5.35714285714286,27.61,0.879999999999999,-13.193784942548454,-6.402496998799519,-13.811174755616536
20250829,002909.SZ,集泰股份,6,61.4,top_6_10,化工,化学制品,,可直接观察,none,13.826366559485525,-7.571801566579639,99.59,29.62,-4.955486600846266,-6.224880112834981,-9.186798307475303
20250829,002430.SZ,杭氧股份,13,53.9,top_11_15,化工,化学制品,,可直接观察,none,9.803043867502236,-2.465208747514902,-23.41,4.520000000000001,-4.8253144016227,-2.4318052738336604,-9.084949290060846
20250829,000501.SZ,武商集团,10,57.5,top_6_10,商业贸易,一般零售,,可直接观察,none,13.891834570519634,-17.321016166281755,66.83,47.36,3.2202816901408404,3.5019718309858883,-8.704600938967129
20250829,002551.SZ,尚荣医疗,2,71.4,top_1_5,医药生物,医疗器械,,可直接观察,none,8.354430379746836,-22.040072859744985,107.56,107.73,-2.501920374707252,-1.0967681498828716,-8.356721311475386
20250829,600881.SH,亚泰集团,3,69.4,top_1_5,综合,综合,,可直接观察,none,14.525139664804463,-12.765957446808518,15.56,17.06,7.157073170731736,8.620487804878056,-6.013658536585371
20250829,002001.SZ,新和成,1,77.5,top_1_5,化工,化学制品,,可直接观察,none,12.516945323090823,-1.9298936589208449,122.97,119.22,-3.881488595438172,0.6403201280512462,-5.442112845138032
20250930,603809.SH,豪能股份,13,52.5,top_11_15,汽车,汽车零部件,,可直接观察,none,13.052345343303864,-8.222958057395157,,1.7599999999999998,-11.6423815309842,-18.932782503037668,-19.115042527339007
20250930,600961.SH,株冶集团,14,52.5,top_11_15,有色金属,工业金属,,可直接观察,none,8.999328408327735,-1.814882032667886,112.94,88.63,-1.0397653958944384,-12.183460410557185,-14.41219941348974
20250930,603501.SH,豪威集团,5,62.5,top_1_5,电子,半导体,,可直接观察,none,11.154411764705864,-4.019047619047623,49.88,42.21,-8.867213964271098,-12.19463793808809,-14.28109641347332
20250930,002324.SZ,普利特,3,78.6,top_1_5,化工,塑料,,可直接观察,none,10.01494768310911,-3.157894736842093,36.78,56.67,-6.528563685636852,-11.067859078590775,-12.355121951219502
20250930,000887.SZ,中鼎股份,12,52.5,top_11_15,汽车,汽车零部件,,可直接观察,none,14.404049700874369,-6.821589205397305,21.43,21.53,-8.869677419354844,-12.66000000000001,-11.893870967741943
20250930,002886.SZ,沃特股份,11,52.5,top_11_15,化工,塑料,,可直接观察,none,13.838630806845975,-7.5089392133492305,24.76,39.54,-6.640686695278982,-10.288755364806876,-9.387467811158809
20250930,600660.SH,福耀玻璃,6,62.5,top_6_10,汽车,汽车零部件,,可直接观察,none,6.80925360104756,-1.5687851971037836,30.9,31.61,-6.916504493782679,-9.43773465618602,-6.062087605412632
20250930,603013.SH,XD亚普股,9,55.0,top_6_10,汽车,汽车零部件,,可直接观察,none,7.883817427385886,-14.163090128755362,2.15,3.1000000000000014,-8.258970142789043,-11.515155027267127,-5.577406120277669
20251031,002284.SZ,亚太股份,2,78.6,top_1_5,汽车,汽车零部件,,可直接观察,none,8.575803981623276,-1.7325017325017344,85.5,98.22,-2.1500497512437837,-9.399516702203275,-14.161421464108033
20251031,600111.SH,北方稀土,5,56.1,top_1_5,有色金属,稀有金属,,可直接观察,low_base_growth,9.52791549902996,-17.636569946506718,11622.98,5644.93,-5.102890901929886,-8.076502560063021,-11.54243402914534
20251031,603917.SH,合力科技,6,55.02,top_6_10,汽车,汽车零部件,,可直接观察,none,13.721264367816088,-2.8834355828220914,,144.8441,-1.417071024512879,-3.994066624764298,-11.285078566939028
20251031,002448.SZ,中原内配,9,52.5,top_6_10,汽车,汽车零部件,,可直接观察,none,2.582368655387346,-5.959183673469393,35.61,44.28,2.091082251082259,-0.9392207792207684,-10.549610389610391
20251128,002864.SZ,盘龙药业,10,71.4,top_6_10,医药生物,中药,,可直接观察,none,10.670926517571887,-19.21641791044777,4.19,2.33,1.4411644832605532,-7.001339155749637,-7.991149927219805
20251128,002603.SZ,以岭药业,4,78.6,top_1_5,医药生物,中药,,可直接观察,none,4.243439419318817,-13.4847080630213,27.08,90.53,-2.626487935656825,-6.379839142091155,-7.184128686327069
20251128,002482.SZ,广田集团,9,75.0,top_6_10,建筑装饰,装修装饰,,可直接观察,none,-0.5347593582887722,-7.920792079207917,38.53,51.8614,-3.9234408602150617,-6.073978494623673,-7.149247311827962
20251128,000953.SZ,河化股份,7,75.0,top_6_10,医药生物,化学制药,,可直接观察,low_base_growth,4.691689008042888,-6.6905615292712,43.03,576.51,-5.9218437900127885,2.9129833546735195,-5.665761843789992
20251128,000963.SZ,华东医药,2,85.0,top_1_5,医药生物,化学制药,,可直接观察,none,0.8645533141210304,-4.06578346276839,8.4,8.53,0.6053671370485559,-1.0210380291796282,-5.20663955991389
20251231,601377.SH,兴业证券,14,71.4,top_11_15,非银金融,证券,,可直接观察,none,8.797653958944274,-6.313131313131315,41.62,27.90000000000001,-2.585876010781669,-7.437628032345007,-7.437628032345007
