strategy_variant,subset,period_split,trade_date,window,variant,sample_count,available_count,mean_return_pct,median_return_pct,std_pct,win_rate_pct
baseline,all,all,20240131,5,close,15,15,-3.6710137780846415,0.1945525291829009,9.845869345195924,53.333333333333336
baseline,all,all,20240131,5,t1,15,15,-1.8712003382525075,1.5094339622641284,9.344478104355545,60.0
baseline,all,all,20240131,5,t1_net,15,15,-2.031200338252507,1.3494339622641285,9.344478104355545,60.0
baseline,all,all,20240131,5,excess_csi300,15,15,-5.784522694216796,-2.40388839370016,9.344478104355545,20.0
baseline,all,all,20240131,5,excess_csi1000,15,15,-2.8690376140489837,0.5115966864676524,9.344478104355545,53.333333333333336
baseline,all,all,20240131,5,excess_eligible,15,15,-2.12795913289035,1.2526751676262855,9.344478104355545,60.0
baseline,all,all,20240131,10,close,15,15,1.3791752602719929,2.535657686212356,9.49018646743047,66.66666666666666
baseline,all,all,20240131,10,t1,15,15,3.291935726860737,4.2857142857142705,9.121061128681292,80.0
baseline,all,all,20240131,10,t1_net,15,15,3.131935726860737,4.12571428571427,9.121061128681292,80.0
baseline,all,all,20240131,10,excess_csi300,15,15,-5.066919632084025,-4.073141073230492,9.121061128681292,6.666666666666667
baseline,all,all,20240131,10,excess_csi1000,15,15,-5.151283653121843,-4.157505094268309,9.121061128681292,6.666666666666667
baseline,all,all,20240131,10,excess_eligible,15,15,-2.689210089724226,-1.6954315308706915,9.121061128681294,26.666666666666668
baseline,all,all,20240131,20,close,15,15,6.427500378226367,2.5490196078431726,15.794618748930684,66.66666666666666
baseline,all,all,20240131,20,t1,15,15,8.446488064753357,3.6977491961414977,15.781264525219774,73.33333333333333
baseline,all,all,20240131,20,t1_net,15,15,8.286488064753359,3.5377491961414975,15.781264525219775,73.33333333333333
baseline,all,all,20240131,20,excess_csi300,15,15,-1.2501133297348908,-5.99885219834675,15.781264525219774,26.666666666666668
baseline,all,all,20240131,20,excess_csi1000,15,15,-3.1910075385522685,-7.939746407164128,15.781264525219774,26.666666666666668
baseline,all,all,20240131,20,excess_eligible,15,15,0.15167459110172643,-4.597064277510134,15.781264525219774,33.33333333333333
baseline,all,all,20240229,5,close,15,15,1.5627793165776256,0.2858776443682043,4.889863684015857,53.333333333333336
baseline,all,all,20240229,5,t1,15,15,1.4935590065507458,-0.05698005698007158,4.989350583214057,46.666666666666664
baseline,all,all,20240229,5,t1_net,15,15,1.3335590065507459,-0.21698005698007158,4.989350583214057,46.666666666666664
baseline,all,all,20240229,5,excess_csi300,15,15,1.72207083075083,0.1715317672200123,4.989350583214057,53.333333333333336
baseline,all,all,20240229,5,excess_csi1000,15,15,3.319991935435515,1.7694528719046976,4.989350583214057,73.33333333333333
baseline,all,all,20240229,5,excess_eligible,15,15,0.699845026032061,-0.8506940374987565,4.989350583214057,40.0
baseline,all,all,20240229,10,close,15,15,3.6132209178111827,2.148760330578514,6.273182374179943,73.33333333333333
baseline,all,all,20240229,10,t1,15,15,3.548466425484731,2.105896510228611,6.452937829397134,73.33333333333333
baseline,all,all,20240229,10,t1_net,15,15,3.3884664254847316,1.945896510228611,6.452937829397134,73.33333333333333
baseline,all,all,20240229,10,excess_csi300,15,15,2.8582331231178704,1.4156632078617504,6.452937829397134,66.66666666666666
baseline,all,all,20240229,10,excess_csi1000,15,15,1.9803870057119146,0.5378170904557944,6.452937829397134,53.333333333333336
baseline,all,all,20240229,10,excess_eligible,15,15,1.2257793644895254,-0.21679055076659415,6.452937829397134,40.0
baseline,all,all,20240229,20,close,15,15,6.280946581958133,1.220865704772467,13.524397892004595,53.333333333333336
baseline,all,all,20240229,20,t1,15,15,6.236308138646219,2.127659574468077,13.82622382850174,53.333333333333336
baseline,all,all,20240229,20,t1_net,15,15,6.076308138646221,1.9676595744680772,13.826223828501744,53.333333333333336
baseline,all,all,20240229,20,excess_csi300,15,15,6.71228139640574,2.603632832227598,13.82622382850174,53.333333333333336
