strategy_variant,subset,period_split,trade_date,window,variant,sample_count,available_count,mean_return_pct,median_return_pct,std_pct,win_rate_pct
no_lock,tier1_only,all,20241129,20,excess_csi1000,12,12,-1.1945652614084883,-2.242625751672761,6.364472316231551,33.33333333333333
no_lock,tier1_only,all,20241129,20,excess_eligible,12,12,-0.13001962042801565,-1.1780801106922882,6.364472316231551,33.33333333333333
no_lock,tier1_only,all,20241231,5,close,3,3,0.37836889758443587,-1.155624036979963,6.367032439283458,33.33333333333333
no_lock,tier1_only,all,20241231,5,t1,3,3,0.39594598720784635,-1.3076923076922986,6.1476461052752,33.33333333333333
no_lock,tier1_only,all,20241231,5,t1_net,3,3,0.2359459872078462,-1.4676923076922985,6.1476461052752,33.33333333333333
no_lock,tier1_only,all,20241231,5,excess_csi300,3,3,1.2120893013864433,-0.49154899351370185,6.1476461052752,33.33333333333333
no_lock,tier1_only,all,20241231,5,excess_csi1000,3,3,2.7300433246818745,1.0264050297817295,6.1476461052752,66.66666666666666
no_lock,tier1_only,all,20241231,5,excess_eligible,3,3,1.9789486457369012,0.2753103508367558,6.1476461052752,66.66666666666666
no_lock,tier1_only,all,20241231,10,close,3,3,-0.6306748623218669,0.8474576271186418,7.53762895719899,66.66666666666666
no_lock,tier1_only,all,20241231,10,t1,3,3,-0.6182021485269619,0.6923076923077032,7.266426479113212,66.66666666666666
no_lock,tier1_only,all,20241231,10,t1_net,3,3,-0.778202148526962,0.5323076923077031,7.266426479113212,66.66666666666666
no_lock,tier1_only,all,20241231,10,excess_csi300,3,3,0.019669032967558547,1.3301788738022235,7.266426479113212,66.66666666666666
no_lock,tier1_only,all,20241231,10,excess_csi1000,3,3,-0.24701412640068288,1.0634957144339818,7.266426479113212,66.66666666666666
no_lock,tier1_only,all,20241231,10,excess_eligible,3,3,-1.6804148283479565,-0.3699049875132918,7.266426479113212,33.33333333333333
no_lock,tier1_only,all,20241231,20,close,3,3,-1.2067881877143176,-0.15408320493065508,4.169789664247303,33.33333333333333
no_lock,tier1_only,all,20241231,20,t1,3,3,-1.1881916756880884,-0.3076923076922977,3.890490380079274,33.33333333333333
no_lock,tier1_only,all,20241231,20,t1_net,3,3,-1.3481916756880885,-0.46769230769229775,3.890490380079274,33.33333333333333
no_lock,tier1_only,all,20241231,20,excess_csi300,3,3,-1.7754659974650533,-0.8949666294692626,3.890490380079274,33.33333333333333
no_lock,tier1_only,all,20241231,20,excess_csi1000,3,3,-5.410046817122005,-4.529547449126214,3.890490380079274,0.0
no_lock,tier1_only,all,20241231,20,excess_eligible,3,3,-4.760315229484964,-3.879815861489173,3.8904903800792745,0.0
no_lock,tier1_only,all,20250127,5,close,15,15,8.23407428489379,6.167706167706166,9.338843930128094,86.66666666666667
no_lock,tier1_only,all,20250127,5,t1,15,15,7.015711688309592,7.291666666666674,8.726517275275366,86.66666666666667
no_lock,tier1_only,all,20250127,5,t1_net,15,15,6.855711688309591,7.131666666666674,8.726517275275368,80.0
no_lock,tier1_only,all,20250127,5,excess_csi300,15,15,4.695594888811462,4.971549867168545,8.726517275275366,66.66666666666666
no_lock,tier1_only,all,20250127,5,excess_csi1000,15,15,1.766359854779666,2.042314833136749,8.726517275275366,53.333333333333336
no_lock,tier1_only,all,20250127,5,excess_eligible,15,15,3.307821467655192,3.5837764460122745,8.726517275275368,60.0
no_lock,tier1_only,all,20250127,10,close,15,15,4.324984899656452,0.7531380753138084,10.563181393793323,53.333333333333336
no_lock,tier1_only,all,20250127,10,t1,15,15,3.177787498111124,0.7531380753138084,10.382295817504682,53.333333333333336
no_lock,tier1_only,all,20250127,10,t1_net,15,15,3.0177874981111246,0.5931380753138084,10.38229581750468,53.333333333333336
no_lock,tier1_only,all,20250127,10,excess_csi300,15,15,0.07645758843426004,-2.348191834363056,10.382295817504682,46.666666666666664
no_lock,tier1_only,all,20250127,10,excess_csi1000,15,15,-1.254826805679881,-3.6794762284771965,10.38229581750468,40.0
no_lock,tier1_only,all,20250127,10,excess_eligible,15,15,0.4553218668474102,-1.969327555949906,10.382295817504682,46.666666666666664
no_lock,tier1_only,all,20250127,20,close,15,15,7.805347518470341,4.36241610738255,13.852755079029832,66.66666666666666
no_lock,tier1_only,all,20250127,20,t1,15,15,6.663669330506914,2.8487229862475427,14.084594141997538,66.66666666666666
no_lock,tier1_only,all,20250127,20,t1_net,15,15,6.503669330506915,2.6887229862475426,14.084594141997538,66.66666666666666
no_lock,tier1_only,all,20250127,20,excess_csi300,15,15,4.288597237256196,0.47365089299682417,14.084594141997538,53.333333333333336
no_lock,tier1_only,all,20250127,20,excess_csi1000,15,15,-1.4328406276213363,-5.247786971880709,14.084594141997538,26.666666666666668
no_lock,tier1_only,all,20250127,20,excess_eligible,15,15,1.3555829402653836,-2.4593634039939882,14.084594141997536,33.33333333333333
no_lock,tier1_only,all,20250228,5,close,15,15,3.588715245589481,3.45679012345681,4.711909253784967,80.0
no_lock,tier1_only,all,20250228,5,t1,15,15,4.00342221819744,1.9314641744548222,5.829877098417547,73.33333333333333
no_lock,tier1_only,all,20250228,5,t1_net,15,15,3.8434222181974396,1.7714641744548223,5.829877098417547,73.33333333333333
no_lock,tier1_only,all,20250228,5,excess_csi300,15,15,2.575085475900252,0.5031274321576351,5.829877098417546,53.333333333333336
no_lock,tier1_only,all,20250228,5,excess_csi1000,15,15,0.2720400490463187,-1.7999179946962984,5.829877098417546,40.0
no_lock,tier1_only,all,20250228,5,excess_eligible,15,15,0.2821949795374489,-1.7897630642051685,5.829877098417547,40.0
no_lock,tier1_only,all,20250228,10,close,15,15,5.37432402883035,4.342581423401715,7.9730807075264005,73.33333333333333
no_lock,tier1_only,all,20250228,10,t1,15,15,5.727760017893399,4.504504504504503,7.722561660937007,80.0
no_lock,tier1_only,all,20250228,10,t1_net,15,15,5.5677600178934,4.344504504504503,7.722561660937007,80.0
no_lock,tier1_only,all,20250228,10,excess_csi300,15,15,2.6910184562040844,1.4677629428151873,7.722561660937007,66.66666666666666
no_lock,tier1_only,all,20250228,10,excess_csi1000,15,15,0.9857062480576576,-0.23754926533123832,7.722561660937007,46.666666666666664
no_lock,tier1_only,all,20250228,10,excess_eligible,15,15,1.2828525334381207,0.059597020049224625,7.722561660937007,53.333333333333336
no_lock,tier1_only,all,20250228,20,close,15,15,-0.2483287647891745,-2.8846153846153966,9.163822721855365,33.33333333333333
no_lock,tier1_only,all,20250228,20,t1,15,15,0.08207694010825245,-2.5723472668810365,8.93850194022546,33.33333333333333
no_lock,tier1_only,all,20250228,20,t1_net,15,15,-0.07792305989174769,-2.7323472668810367,8.93850194022546,33.33333333333333
no_lock,tier1_only,all,20250228,20,excess_csi300,15,15,-0.6043723295254961,-3.2587965365147853,8.938501940225462,33.33333333333333
no_lock,tier1_only,all,20250228,20,excess_csi1000,15,15,0.16733007081569345,-2.4870941361735954,8.93850194022546,33.33333333333333
no_lock,tier1_only,all,20250228,20,excess_eligible,15,15,1.1592507994897712,-1.4951734074995182,8.93850194022546,46.666666666666664
no_lock,tier1_only,all,20250331,5,close,15,15,-9.540427387661113,-8.34898412156393,9.529452677210724,20.0
no_lock,tier1_only,all,20250331,5,t1,15,15,-9.587170460484826,-8.364629566404913,9.457258813430837,20.0
no_lock,tier1_only,all,20250331,5,t1_net,15,15,-9.747170460484824,-8.524629566404913,9.457258813430837,20.0
no_lock,tier1_only,all,20250331,5,excess_csi300,15,15,-3.4929227308403283,-2.270381836760416,9.457258813430839,33.33333333333333
no_lock,tier1_only,all,20250331,5,excess_csi1000,15,15,2.0665844386012635,3.2891253326811754,9.457258813430839,60.0
no_lock,tier1_only,all,20250331,5,excess_eligible,15,15,-0.12694375308909187,1.0955971409908205,9.457258813430839,53.333333333333336
no_lock,tier1_only,all,20250331,10,close,15,15,-4.101934204976812,-3.714285714285692,8.321112200094504,33.33333333333333
no_lock,tier1_only,all,20250331,10,t1,15,15,-4.1488620678046875,-3.824200913241993,8.266389472861949,33.33333333333333
no_lock,tier1_only,all,20250331,10,t1_net,15,15,-4.308862067804687,-3.984200913241993,8.266389472861949,33.33333333333333
no_lock,tier1_only,all,20250331,10,excess_csi300,15,15,-0.896300986517246,-0.5716398319545513,8.266389472861949,40.0
no_lock,tier1_only,all,20250331,10,excess_csi1000,15,15,1.3700466958860227,1.6947078504487174,8.266389472861949,60.0
no_lock,tier1_only,all,20250331,10,excess_eligible,15,15,-0.017521961500268426,0.3071391930624263,8.266389472861949,53.333333333333336
no_lock,tier1_only,all,20250331,20,close,15,15,-1.1635264631925182,-3.835755322744183,12.70018221209102,33.33333333333333
no_lock,tier1_only,all,20250331,20,t1,15,15,-1.2108753959610363,-3.0989272943980906,12.66743577567876,33.33333333333333
