ts_code,symbol,name,list_date,delist_date,market,list_status,avg_amount_20d,pct_20d,l2_name,l1_name,l2_code,l1_code,close,pe,pe_ttm,pb,turnover_rate,total_mv,circ_mv,avg_amount_5d,vol_confirm,limit_20d,limit_10d,is_lock,is_breakout,high_20d,low_20d,pct_5d,pct_60d,drawdown_20d,has_crash_veto,pct_20d_n,market_med_20d,q0_dt_yoy,q1_dt_yoy,q0_profit_dedt,q0_dt_profit_ratio,q0_net_income,ttm_net_income,ttm_profit_dedt,ttm_ocf_ratio,roe,reduce_deduct,total_mv_n,avg_amt_5d_n,l1_leader,l1_score,l1_flag,itf_adj,l2_pe_mkt_pct,q0_dt_yoy_n,q1_dt_yoy_n,ind_med,esp_raw,l2_flags,pe_n,pb_n,roe_n,peg_n,pe_mean,val_bonus,val_penalty,close_n,high_20d_n,vol_shrink,reduce_penalty,cat_score,cat_flag,mom_rank,l4_mom_ok,l4_rel_ok,l4_score,ind_mom_cnt,alpha_excess,alpha_flag,pct_5d_n,l4_flag,big_ratio,chasing_high,overheat_flag,z_group,esp_raw_w,esp_z,esp_score,egs_base,mult,deduct,final_score,tier,entry_flag,cninfo_flag,run_date
002001.SZ,002001,新和成,20040625,,主板,L,731266503.7,12.516945323090823,化学制品,化工,801034.SI,220000,24.9,13.0404,10.5302,2.5104,1.4544,7652819.9832,7561786.2007,1085260102.4,False,0,0,False,False,25.39,21.97,1.8404907975460016,13.906678865507782,-1.9298936589208449,False,12.516945323090823,5.831533477321815,119.22,122.97,1879705376.85,99.9891,,,13748287356.02,74.4438,6.2717,0,7652819.9832,1085260102.4,1.0,1.5,PASS,False,0.25806451612903225,119.22,122.97,9.29,119.22,,13.0404,2.5104,6.2717,0.10938097634625063,57.08029444444445,10.0,0.0,24.9,25.39,False,0,50.0,,0.775,1,1,85.0,13,8.387665415321312,True,1.8404907975460016,,-0.01302650905627175,False,False,化学制品,119.22,0.4702454182425921,50.0,67.5,1.0,0.0,77.5,Tier1,可直接观察,回测跳过,20250829
002551.SZ,002551,尚荣医疗,20110225,,主板,L,399969793.84999996,8.354430379746836,医疗器械,医药生物,801153.SI,370000,4.28,162.4057,7279.977,1.38,4.2226,361871.6794,261587.917,196198025.39999998,True,3,0,False,False,5.49,3.82,-6.753812636165568,11.749347258485642,-22.040072859744985,False,8.354430379746836,5.831533477321815,84.75,107.56,11703692.54,83.8122,,,29093480.32,397.3559,0.5282,0,361871.6794,196198025.39999998,1.0,1.5,PASS,False,0.06451612903225806,84.75,107.56,-11.49,107.72999999999999,,162.4057,1.38,0.5282,1.9162914454277287,54.19423333333333,0.0,10.0,4.28,5.49,True,0,50.0,,0.9166666666666666,1,1,100.0,4,8.771299717213765,True,-6.753812636165568,,-0.04258340195447415,False,False,医疗器械,107.72999999999999,2.0994862166622976,82.0,81.4,1.0,10.0,71.4,Tier1,可直接观察,回测跳过,20250829
600881.SH,600881,亚泰集团,19951115,,主板,L,301327435.15,14.525139664804465,综合,综合,801231.SI,510000,2.05,,,3.5345,2.8624,662590.9525,662590.9525,278666664.0,True,1,1,False,False,2.35,1.77,-1.9138755980861233,6.217616580310881,-12.765957446808518,False,14.525139664804465,5.831533477321815,9.09,15.56,-472186670.77,,,,-5998207452.17,,-18.7453,0,662590.9525,278666664.0,1.0,1.5,PASS,False,0.9032258064516129,9.09,15.56,-3.9850000000000003,17.06,,,3.5345,-18.7453,,127.23474285714285,0.0,0.0,2.05,2.35,False,0,50.0,,0.75,1,1,100.0,3,4.127182384587014,False,-1.9138755980861233,,0.005779091462113997,False,False,综合,17.06,-0.644463620422362,22.0,69.4,1.0,0.0,69.4,Tier1,可直接观察,回测跳过,20250829
002823.SZ,002823,凯中精密,20161124,,主板,L,309154305.04999995,12.424445936870377,电机,电气设备,801731.SI,630000,16.74,32.3136,26.6939,2.7269,4.6539,549689.6206,366469.2292,329985425.8,True,2,2,False,False,19.1,14.48,-2.674418604651163,24.7391952309985,-12.356020942408396,False,12.424445936870377,5.831533477321815,86.59,89.54,47685798.12,97.2187,,,381289229.32,156.5238,2.5092,0,549689.6206,329985425.8,1.0,1.5,PASS,False,0.4838709677419355,86.59,89.54,9.55,86.59,,32.3136,2.7269,2.5092,0.3731793509643146,99.35544999999999,10.0,0.0,16.74,19.1,False,0,50.0,,0.6666666666666666,0,1,55.0,4,4.011579059337556,False,-2.674418604651163,,-0.02306129091820814,False,False,电机,86.59,1.9441424438382946,68.0,56.1,1.0,0.0,66.1,Tier1,可直接观察,回测跳过,20250829
603259.SH,603259,药明康德,20180508,,主板,L,6351383923.55,12.46597713663582,医疗服务,医药生物,801156.SI,370000,103.3,32.2625,22.1395,4.6292,4.1103,30489064.5829,25548984.9412,7469254904.6,True,0,0,False,False,103.96,89.0,3.3206641328265674,59.41358024691359,-0.6348595613697494,False,12.46597713663582,5.831533477321815,14.5,2.47,2329266627.0,63.4339,,,23413028853.66,74.4378,6.0711,0,30489064.5829,7469254904.6,1.0,1.5,PASS,False,0.3225806451612903,14.5,2.47,9.77,4.73,ESP-Q,32.2625,4.6292,6.0711,2.225,56.93265,10.0,0.0,103.3,103.96,False,0,50.0,,0.8888888888888888,1,1,100.0,3,8.47303647923454,True,3.3206641328265674,,-0.019542642655523874,False,False,医疗服务,4.73,0.4368024733114123,50.0,75.0,0.7,0.0,62.5,Tier1,可直接观察,回测跳过,20250829
002909.SZ,002909,集泰股份,20171026,,主板,L,225634731.3,13.826366559485525,化学制品,化工,801034.SI,220000,7.08,143.2157,521.8069,3.0744,8.8756,276120.0,269342.5872,288239605.00000006,True,2,1,False,False,7.66,6.06,0.8547008547008517,11.496062992126,-7.571801566579639,False,13.826366559485525,5.831533477321815,29.62,99.59,-7968078.8,,,,19668505.509999998,,-0.5619,0,276120.0,288239605.00000006,1.0,1.5,PASS,False,0.25806451612903225,29.62,99.59,9.29,29.62,,143.2157,3.0744,-0.5619,4.8351012829169475,57.08029444444445,0.0,10.0,7.08,7.66,False,0,50.0,,0.875,1,1,100.0,13,9.697086651716013,True,0.8547008547008517,,0.04006638782227055,False,False,化学制品,29.62,-0.15402347400486097,32.0,71.4,1.0,10.0,61.4,Tier1,可直接观察,回测跳过,20250829
600744.SH,600744,华银电力,19960905,,主板,L,1793379001.6,14.68428781204112,电力,公用事业,801161.SI,410000,7.81,,,13.8864,9.7029,1586308.058,1586308.058,2688113722.6000004,True,2,1,False,False,8.57,6.74,-0.3826530612244916,66.52452025586351,-8.86814469078181,False,14.68428781204112,5.831533477321815,1461.47,1.4618,73756163.22,97.4645,,,-118976331.24,2000.9278,4.708,0,1586308.058,2688113722.6000004,1.0,1.5,PASS,False,0.03225806451612903,1461.47,1.4618,6.32,1461.47,ESP-Q,,13.8864,4.708,,47.90315227272727,0.0,0.0,7.81,8.57,False,0,50.0,,0.8780487804878049,1,1,100.0,13,13.53366019697837,True,-0.3826530612244916,,0.015101276983544888,False,False,电力,1387.9941,6.1338017287785,100.0,85.0,0.7,0.0,59.5,Tier1,可直接观察,回测跳过,20250829
001359.SZ,001359,平安电工,20240328,,主板,L,365381353.40000004,14.42590775269872,塑料,化工,801036.SI,220000,58.3,49.7261,43.5061,5.6664,12.7212,1081483.452,270395.4,505260398.2,True,1,1,False,False,61.6,46.8,3.0946065428824054,95.90053763440858,-5.35714285714286,False,14.42590775269872,5.831533477321815,21.43,27.61,51542591.38,98.4146,,,506943495.5,42.3647,2.8066,0,1081483.452,505260398.2,1.0,1.5,PASS,False,0.7096774193548387,21.43,27.61,20.55,0.879999999999999,,49.7261,5.6664,2.8066,2.320396640223985,102.13187857142857,10.0,0.0,58.3,61.6,False,0,50.0,,0.6428571428571429,0,1,55.0,5,1.889013906506964,False,3.0946065428824054,,0.010430978801324903,False,False,塑料,0.879999999999999,-0.3556386900987276,32.0,48.9,1.0,0.0,58.9,Tier1,可直接观察,回测跳过,20250829
000501.SZ,000501,武商集团,19921120,,主板,L,705995560.3,13.891834570519634,一般零售,商业贸易,801203.SI,450000,10.74,38.2378,36.2938,0.7497,3.453,825898.1931,825077.4799,383954635.0,True,2,0,False,False,12.99,9.1,-5.623901581722324,18.15181518151816,-17.321016166281755,False,13.891834570519634,5.831533477321815,21.24,66.83,132602679.55,93.0164,,,473381719.46000004,54.1661,1.2902,0,825898.1931,383954635.0,1.0,1.5,PASS,False,0.5806451612903226,21.24,66.83,-13.06,47.36,,38.2378,0.7497,1.2902,1.8002730696798495,308.2578315789474,0.0,0.0,10.74,12.99,True,0,50.0,,0.6956521739130435,0,1,65.0,7,6.731930035913436,True,-5.623901581722324,,-0.03853499565821096,False,False,一般零售,47.36,0.3403227196793718,50.0,57.5,1.0,0.0,57.5,Tier1,可直接观察,回测跳过,20250829
002430.SZ,002430,杭氧股份,20100610,,主板,L,254901055.69999996,9.803043867502236,化学制品,化工,801034.SI,220000,24.53,26.019,24.8854,2.5606,1.2682,2399895.8174,2398287.6919,344423304.2,True,0,0,False,False,25.15,21.95,2.4217118997912346,26.639132679401143,-2.465208747514902,False,9.803043867502236,5.831533477321815,13.81,-23.41,222561605.27,98.4456,,,2116634444.79,126.59,2.4193,0,2399895.8174,344423304.2,1.0,1.5,PASS,False,0.25806451612903225,13.81,-23.41,9.29,4.520000000000001,,26.019,2.5606,2.4193,1.8840695148443156,57.08029444444445,0.0,0.0,24.53,25.15,False,0,50.0,,0.675,0,1,65.0,13,5.6737639597327245,True,2.4217118997912346,,0.020602931897960097,False,False,化学制品,4.520000000000001,-0.32890237127507377,32.0,53.9,1.0,0.0,53.9,Tier1,可直接观察,回测跳过,20250829
