ts_code,symbol,name,list_date,delist_date,market,list_status,avg_amount_20d,pct_20d,l2_name,l1_name,l2_code,l1_code,close,pe,pe_ttm,pb,turnover_rate,total_mv,circ_mv,avg_amount_5d,vol_confirm,limit_20d,limit_10d,is_lock,is_breakout,high_20d,low_20d,pct_5d,pct_60d,drawdown_20d,has_crash_veto,pct_20d_n,market_med_20d,q0_dt_yoy,q1_dt_yoy,q0_profit_dedt,q0_dt_profit_ratio,q0_net_income,ttm_net_income,ttm_profit_dedt,ttm_ocf_ratio,roe,reduce_deduct,total_mv_n,avg_amt_5d_n,l1_leader,l1_score,l1_flag,itf_adj,l2_pe_mkt_pct,q0_dt_yoy_n,q1_dt_yoy_n,ind_med,esp_raw,l2_flags,pe_n,pb_n,roe_n,peg_n,pe_mean,val_bonus,val_penalty,close_n,high_20d_n,vol_shrink,reduce_penalty,cat_score,cat_flag,mom_rank,l4_mom_ok,l4_rel_ok,l4_score,ind_mom_cnt,alpha_excess,alpha_flag,pct_5d_n,l4_flag,big_ratio,chasing_high,overheat_flag,z_group,esp_raw_w,esp_z,esp_score,egs_base,mult,deduct,final_score,tier,entry_flag,cninfo_flag,run_date
600487.SH,600487,亨通光电,20030822,,主板,L,596783504.25,5.41443850267378,通信设备,通信,801102.SI,730000,15.77,18.0629,17.1245,1.4833,2.6462,3890040.5541,3890040.5541,674279130.2,True,0,0,False,False,16.0,14.25,1.8733850129198926,27.692307692307683,-1.4375000000000027,False,5.41443850267378,-5.922784775958906,13.9,31.74,411303403.19,80.1644,,,5343622890.62,29.0038,1.9784,0,3890040.5541,674279130.2,1.0,1.5,PASS,False,0.631578947368421,13.9,31.74,-9.568850000000001,33.0377,,18.0629,1.4833,1.9784,1.2994892086330934,28.585562499999998,10.0,0.0,15.77,16.0,False,0,50.0,,0.875,1,1,100.0,3,2.602557924214688,False,1.8733850129198926,,-0.0026420065742205926,False,False,通信设备,33.0377,-0.13664505673309504,32.0,71.4,1.0,0.0,81.4,Tier1,可直接观察,回测跳过,20240628
001286.SZ,001286,陕西能源,20230410,,主板,L,431416346.4499999,4.249547920433994,电力,公用事业,801161.SI,410000,11.53,16.9181,16.0934,1.8851,2.9634,4323750.0,1210650.0,296280981.0,True,0,0,False,False,12.38,10.77,-2.4534686971235287,17.53312945973495,-6.86591276252021,False,4.249547920433994,-5.922784775958906,15.48,4.18,988659892.2,100.1474,,,7042746626.79,132.5381,4.1574,0,4323750.0,296280981.0,1.0,1.5,PASS,False,0.3684210526315789,15.48,4.18,15.36,0.120000000000001,,16.9181,1.8851,4.1574,1.0929005167958656,118.7863875,10.0,0.0,11.53,12.38,True,0,50.0,,0.7142857142857143,1,1,100.0,11,3.97482264570872,False,-2.4534686971235287,,-0.03549488851747716,False,False,电力,0.120000000000001,-0.3389702648282036,32.0,71.4,1.0,0.0,81.4,Tier1,可直接观察,回测跳过,20240628
603160.SH,603160,汇顶科技,20161017,,主板,L,462972197.35,11.263958569347787,半导体,电子,801081.SI,270000,68.75,190.7706,67.5279,3.8558,1.1923,3148763.1588,3148763.1588,448094566.79999995,False,0,0,False,False,72.0,61.03,-0.4921117383123508,17.280791538723996,-4.513888888888884,False,11.263958569347787,-5.922784775958906,194.2184,115.3569,147566708.15,90.8663,,,94122767.12,115.6161,1.9934,0,3148763.1588,448094566.79999995,1.0,1.5,PASS,False,0.7368421052631579,194.2184,115.3569,31.8494,194.2184,,190.7706,3.8558,1.9934,0.9822478199799813,125.51595384615385,0.0,0.0,68.75,72.0,False,0,50.0,,0.8571428571428571,1,1,85.0,5,6.702411294969501,True,-0.4921117383123508,,-0.011814202787911548,False,False,半导体,194.2184,-0.0062045672545638685,32.0,63.9,1.0,0.0,63.9,Tier1,可直接观察,回测跳过,20240628
600941.SH,600941,中国移动,20220105,,主板,L,1098682854.25,7.285429141716571,通信运营,通信,801223.SI,730000,107.5,17.4815,17.2793,1.7846,1.986,230346794.127,8155195.8203,1137997011.0,True,0,0,False,False,107.75,98.18,4.878048780487809,1.645234493192138,-0.23201856148491462,False,7.285429141716571,-5.922784775958906,8.4,2.2,26100000000.0,88.1489,,,310897000000.0,149.2212,2.2397,0,230346794.127,1137997011.0,1.0,1.5,PASS,False,0.3157894736842105,8.4,2.2,5.02,8.4,ESP-Q,17.4815,1.7846,2.2397,2.0811309523809522,103.17502499999999,10.0,0.0,107.5,107.75,False,0,50.0,,0.8,1,1,100.0,2,3.750075606363046,False,4.878048780487809,,-0.018981763238712153,False,False,通信运营,8.4,0.4847416131963823,50.0,75.0,0.7,0.0,62.5,Tier1,可直接观察,回测跳过,20240628
601991.SH,601991,大唐发电,20061220,,主板,L,341223998.25,-0.660066006600657,电力,公用事业,801161.SI,410000,3.01,40.8059,21.7629,1.9563,1.1259,5570519.8617,3731222.8209,280961622.4,True,0,0,False,False,3.2,2.87,2.033898305084736,2.7303754266211566,-5.937500000000007,False,-0.660066006600657,-5.922784775958906,2691.83,138.15,1327011000.0,99.6659,,,5352004000.0,291.5823,1.7546,0,5570519.8617,280961622.4,1.0,1.5,PASS,False,0.3684210526315789,2691.83,138.15,15.36,2691.83,,40.8059,1.9563,1.7546,0.015159166812168674,118.7863875,0.0,0.0,3.01,3.2,False,0,50.0,,0.45714285714285713,0,1,55.0,11,-0.9347912813259307,False,2.033898305084736,,0.004707476039430309,False,False,电力,2371.2654000000102,3.754362809661405,97.26308842898422,61.952617685796845,1.0,0.0,61.95,Tier1,可直接观察,回测跳过,20240628
600765.SH,600765,XD中航重,19961106,,主板,L,464720153.05,6.30536737884313,航空装备,国防军工,801742.SI,650000,20.4,22.7486,21.9098,2.6123,2.3432,3022353.4565,2996104.3297,383983563.4,True,0,0,False,False,20.55,18.61,4.401228249744116,32.72608978529603,-0.7299270072992803,False,6.30536737884313,-5.922784775958906,7.29,8.81,288058931.21,89.6142,,,3382908722.38,-72.9693,2.7408,0,3022353.4565,383983563.4,1.0,1.5,PASS,False,0.8947368421052632,7.29,8.81,5.6899999999999995,1.6000000000000005,ESP-Q,22.7486,2.6123,2.7408,3.1205212620027436,62.935854545454546,10.0,0.0,20.4,20.55,False,0,50.0,,1.0,1,1,100.0,4,8.342354781684202,True,4.401228249744116,,-0.006478636404192072,False,False,航空装备,1.6000000000000005,-0.3388604979358248,32.0,71.4,0.7,0.0,59.98,Tier1,可直接观察,回测跳过,20240628
601800.SH,601800,中国交建,20120309,,主板,L,332322228.99999994,1.5909090909090873,基础建设,建筑装饰,801723.SI,620000,8.94,6.1118,5.9717,0.5301,0.4572,14553078.614,10502028.47,312670437.8,True,0,0,False,False,9.12,8.64,1.7064846416382284,3.7122969837587005,-1.9736842105263164,False,1.5909090909090873,-5.922784775958906,12.14,58.18,6101693860.0,99.3651,,,53975322875.0,-425.0359,2.0092,0,14553078.614,312670437.8,1.0,1.5,PASS,False,0.05263157894736842,12.14,58.18,-12.155,6.07,ESP-Q,6.1118,0.5301,2.0092,0.5034431630971993,15.621187500000001,10.0,0.0,8.94,9.12,False,0,50.0,,0.75,1,1,100.0,3,0.7742871684678687,False,1.7064846416382284,,-0.012367622204144975,False,False,基础建设,6.07,-0.2855497311631001,32.0,71.4,0.7,0.0,59.98,Tier1,可直接观察,回测跳过,20240628
002241.SZ,002241,歌尔股份,20080522,,主板,L,1401148421.5,13.49621873182083,电子制造,电子,801085.SI,270000,19.51,61.2717,48.9687,2.1945,4.6076,6666829.5831,5872458.8097,1684029629.4,True,0,0,False,False,19.8,16.61,7.374793615850295,22.090112640801006,-1.4646464646464574,False,13.49621873182083,-5.922784775958906,1722.92,-47.16,275495406.41,72.5856,,,2362669270.02,399.8992,1.2337,0,6666829.5831,1684029629.4,1.0,1.5,PASS,False,0.47368421052631576,1722.92,-47.16,30.46,1722.92,ESP-Q,61.2717,2.1945,1.2337,0.03556270749657558,40.765838461538465,0.0,0.0,19.51,19.8,False,0,50.0,,0.7142857142857143,1,1,100.0,5,8.872500604718303,True,7.374793615850295,,0.00528289995279299,False,False,电子制造,1722.92,3.4156085204512974,96.24682556135389,84.24936511227078,0.7,0.0,58.97,Tier1,可直接观察,回测跳过,20240628
002371.SZ,002371,北方华创,20100316,,主板,L,1823846161.2500002,9.047213226521201,半导体,电子,801081.SI,270000,319.89,43.5663,38.3108,6.6387,0.7388,16986788.0317,16972033.1054,1448638094.0,False,0,0,False,False,337.78,293.35,-1.7838501688670516,4.676047120418847,-5.296346734560952,False,9.047213226521201,-5.922784775958906,100.91,70.05,1072494911.14,95.2017,,,8903028955.1,19.4979,4.5102,0,16986788.0317,1448638094.0,1.0,1.5,PASS,False,0.7368421052631579,100.91,70.05,31.8494,100.91,,43.5663,6.6387,4.5102,0.43173421861064315,125.51595384615385,0.0,0.0,319.89,337.78,True,0,50.0,,0.7857142857142857,1,1,75.0,5,4.485665952142915,False,-1.7838501688670516,,-0.03443736616394898,False,False,半导体,100.91,-0.15098540621950024,32.0,58.9,1.0,0.0,58.9,Tier1,可直接观察,回测跳过,20240628
000063.SZ,000063,中兴通讯,19971118,,主板,L,1907836015.4999998,3.7462908011869356,通信设备,通信,801102.SI,730000,27.97,14.346,14.1958,1.8879,3.2222,13378754.5909,11263577.1077,2197524307.6,True,0,0,False,False,28.47,26.29,3.5925925925925917,-0.07145409074669207,-1.7562346329469625,False,3.7462908011869356,-5.922784775958906,7.93,19.99,2649236000.0,96.6529,,,22059438000.0,92.7337,3.9474,0,13378754.5909,2197524307.6,1.0,1.5,PASS,False,0.631578947368421,7.93,19.99,-9.568850000000001,3.965,,14.346,1.8879,3.9474,1.809079445145019,28.585562499999998,10.0,0.0,27.97,28.47,False,0,50.0,,0.625,0,1,55.0,3,0.9344102227278439,False,3.5925925925925917,,-0.010519883670910935,False,False,通信设备,3.965,-0.4644917018096279,32.0,48.9,1.0,0.0,58.9,Tier1,可直接观察,回测跳过,20240628
