ts_code,symbol,name,list_date,delist_date,market,list_status,avg_amount_20d,pct_20d,l2_name,l1_name,l2_code,l1_code,close,pe,pe_ttm,pb,turnover_rate,total_mv,circ_mv,avg_amount_5d,vol_confirm,limit_20d,limit_10d,is_lock,is_breakout,high_20d,low_20d,pct_5d,pct_60d,drawdown_20d,has_crash_veto,pct_20d_n,market_med_20d,q0_dt_yoy,q1_dt_yoy,q0_profit_dedt,q0_dt_profit_ratio,q0_net_income,ttm_net_income,ttm_profit_dedt,ttm_ocf_ratio,roe,reduce_deduct,total_mv_n,avg_amt_5d_n,l1_leader,l1_score,l1_flag,itf_adj,l2_pe_mkt_pct,q0_dt_yoy_n,q1_dt_yoy_n,ind_med,esp_raw,l2_flags,pe_n,pb_n,roe_n,peg_n,pe_mean,val_bonus,val_penalty,close_n,high_20d_n,vol_shrink,reduce_penalty,cat_score,cat_flag,mom_rank,l4_mom_ok,l4_rel_ok,l4_score,ind_mom_cnt,alpha_excess,alpha_flag,pct_5d_n,l4_flag,big_ratio,chasing_high,overheat_flag,z_group,esp_raw_w,low_base_growth_flag,esp_z,esp_score,egs_base,mult,deduct,final_score,tier,downgrade_reasons,score_penalty_reasons,entry_flag,cninfo_flag,run_date
600499.SH,600499,科达制造,20021010,,主板,L,222434646.10000002,9.196428571428573,专用设备,机械设备,801074.SI,640000,12.23,23.3083,18.0855,1.9517,1.2707,2345538.3662,2345538.3662,211862910.4,True,0,0,False,False,12.33,11.04,3.4686971235194486,18.164251207729485,-0.8110300081102917,False,9.196428571428573,2.3211384809203484,75.06,17.13,699890800.0,93.9366,,,2579294800.0,49.6765,6.3418,0,2345538.3662,211862910.4,1.0,1.5,PASS,False,0.5294117647058824,75.06,17.13,1.7428,75.06,,23.3083,1.9517,6.3418,0.31052891020516915,84.48110689655172,10.0,0.0,12.23,12.33,False,0,50.0,,0.7631578947368421,1,1,100.0,12,5.974153380299097,True,3.4686971235194486,,-0.012536548984761045,False,False,专用设备,75.06,False,0.47571382798516476,50.0,75.0,1.0,0.0,85.0,Tier1,,,可直接观察,回测跳过,20250930
600490.SH,600490,鹏欣资源,20030626,,主板,L,610608624.05,13.006756756756754,工业金属,有色金属,801055.SI,240000,6.69,,160.1779,2.3658,6.3388,1480421.4559,1333063.7072,526427586.40000004,True,0,0,False,False,6.75,5.6,5.854430379746844,49.66442953020136,-0.8888888888888835,False,13.006756756756754,2.3211384809203484,272.1241,1058.3379,145901660.35,103.1346,,,-69984529.35000002,54.8457,2.294,0,1480421.4559,526427586.40000004,1.0,1.5,PASS,False,0.23529411764705882,272.1241,1058.3379,7.405,272.1241,,,2.3658,2.294,,62.92261944444445,0.0,0.0,6.69,6.75,False,0,50.0,,0.717948717948718,1,1,100.0,12,3.9780289865789076,False,5.854430379746844,,-0.007824590041426018,False,False,工业金属,200.0,True,1.6404358969030546,68.0,78.6,1.0,0.0,78.6,Tier1,,esp_raw_cap_200,可直接观察,回测跳过,20250930
002324.SZ,002324,普利特,20091218,,主板,L,313558703.40000004,10.01494768310911,塑料,化工,801036.SI,220000,14.72,116.0052,80.0953,3.6585,2.9694,1637358.9571,1142678.2161,258168727.40000004,True,0,0,False,False,15.2,12.92,-0.3385240352064889,27.55632582322358,-3.157894736842093,False,10.01494768310911,2.3211384809203484,56.67,36.78,203984917.08,98.4049,,,610223306.62,99.2506,4.7189,0,1637358.9571,258168727.40000004,1.0,1.5,PASS,False,0.8235294117647058,56.67,36.78,15.72195,56.67,,116.0052,3.6585,4.7189,2.0470301746956063,95.37909230769232,0.0,0.0,14.72,15.2,False,0,50.0,,0.7142857142857143,1,1,100.0,5,2.3701798634283016,False,-0.3385240352064889,,-0.016942949136950172,False,False,塑料,56.67,False,1.1677525116485703,68.0,78.6,1.0,0.0,78.6,Tier1,,,可直接观察,回测跳过,20250930
002213.SZ,002213,大为股份,20080201,,主板,L,426199188.8,14.593023255813954,半导体,电子,801081.SI,270000,19.71,,,8.4825,24.9023,467792.8629,407185.4486,651657702.1999999,True,0,0,False,False,20.19,16.34,2.9242819843342094,9.98883928571428,-2.377414561664193,False,14.593023255813954,2.3211384809203484,39.66,30.21,-6684543.75,,,,-91776789.67,,-2.0923,0,467792.8629,651657702.1999999,1.0,1.5,PASS,False,1.0,39.66,30.21,13.84,39.66,,,8.4825,-2.0923,,116.25639411764706,0.0,0.0,19.71,20.19,False,0,50.0,,0.7,1,1,100.0,7,7.303438405677932,True,2.9242819843342094,,0.014459247768563914,False,False,半导体,39.66,False,0.2679592702892705,50.0,75.0,1.0,0.0,75.0,Tier1,,,可直接观察,回测跳过,20250930
603501.SH,603501,豪威集团,20170504,,主板,L,4498642337.750001,11.154411764705863,半导体,电子,801081.SI,270000,151.17,54.8599,45.7599,7.3041,2.1728,18231262.0134,18231262.0134,5399213808.599999,True,0,0,False,False,157.5,126.66,1.7294751009421239,22.404858299595134,-4.0190476190476225,False,11.154411764705863,2.3211384809203484,42.21,49.88,1951351981.31,96.2262,,,8149226327.82,86.1856,8.0481,0,18231262.0134,5399213808.599999,1.0,1.5,PASS,False,1.0,42.21,49.88,13.84,42.21,,54.8599,7.3041,8.0481,1.2996896470030799,116.25639411764706,10.0,0.0,151.17,157.5,False,0,50.0,,0.6,0,1,55.0,7,3.864826914569841,False,1.7294751009421239,,-0.0031338525387984944,False,False,半导体,42.21,False,0.30012354765101484,50.0,52.5,1.0,0.0,62.5,Tier1,,,可直接观察,回测跳过,20250930
600660.SH,600660,福耀玻璃,19930610,,主板,L,1129721878.3999999,6.80925360104756,汽车零部件,汽车,801093.SI,280000,73.41,25.5511,21.7605,5.3738,0.6384,19158127.2684,14703922.6632,883898899.4000001,True,0,0,False,False,74.58,66.45,0.23211359912616025,29.242957746478872,-1.5687851971037836,False,6.80925360104756,2.3211384809203484,31.61,30.9,4706682555.0,97.9597,,,19690258841.0,92.5664,13.4689,0,19158127.2684,883898899.4000001,1.0,1.5,PASS,False,0.47058823529411764,31.61,30.9,8.78,31.61,,25.5511,5.3738,13.4689,0.808323315406517,129.15708533333333,10.0,0.0,73.41,74.58,True,0,50.0,,0.34210526315789475,0,1,55.0,23,-2.6528294608053162,False,0.23211359912616025,,-0.00806716659259712,False,False,汽车零部件,31.61,False,0.3035445677706266,50.0,52.5,1.0,0.0,62.5,Tier1,,,可直接观察,回测跳过,20250930
002562.SZ,002562,兄弟科技,20110310,,主板,L,631691887.5999998,9.667673716012072,化学制品,化工,801034.SI,220000,7.26,189.2127,84.6418,2.4228,9.9049,772246.5928,509309.8965,917751186.2,True,2,2,False,False,8.03,6.15,-3.3288948069240987,15.605095541401258,-9.589041095890405,False,9.667673716012072,2.3211384809203484,463.49,172.58,62530564.56,96.885,,,137988852.35,18.2114,2.0531,0,772246.5928,917751186.2,1.0,1.5,PASS,False,0.29411764705882354,463.49,172.58,4.9350000000000005,463.49,,189.2127,2.4228,2.0531,0.4082346976202291,55.008532,0.0,0.0,7.26,8.03,False,0,50.0,,0.6428571428571429,0,1,55.0,9,4.107371355098877,False,-3.3288948069240987,,0.01695880140410171,False,False,化学制品,200.0,True,2.0471139869066204,82.0,58.900000000000006,1.0,0.0,58.9,Tier1,,esp_raw_cap_200,可直接观察,回测跳过,20250930
600338.SH,600338,西藏珠峰,20001227,,主板,L,894952886.4499999,6.825396825396846,工业金属,有色金属,801055.SI,240000,13.46,53.5926,30.5745,2.9696,7.8999,1230526.8861,1230526.8861,661914831.6,True,0,0,False,False,14.15,11.73,5.98425196850394,20.934411500449237,-4.876325088339217,False,6.825396825396846,2.3211384809203484,136.38,613.0594,301537099.33,100.237,,,902681604.15,68.9774,7.695,0,1230526.8861,661914831.6,1.0,1.5,PASS,False,0.23529411764705882,136.38,613.0594,7.405,136.38,,53.5926,2.9696,7.695,0.3929652441706995,62.92261944444445,0.0,0.0,13.46,14.15,True,0,50.0,,0.38461538461538464,0,1,55.0,12,-2.203330944781001,False,5.98425196850394,,-0.0158549408473719,False,False,工业金属,136.38,False,1.1197510679583675,68.0,56.1,1.0,0.0,56.1,Tier1,,,可直接观察,回测跳过,20250930
603013.SH,603013,XD亚普股,20180509,,主板,L,227824322.0,7.883817427385886,汽车零部件,汽车,801093.SI,280000,26.0,26.65,25.1253,3.0099,0.8356,1332758.0864,1332758.0864,136276323.79999998,False,1,1,False,False,30.29,22.91,-5.420152782830112,38.29787234042552,-14.163090128755362,False,7.883817427385886,2.3211384809203484,11.88,2.15,285033313.37,99.2934,,,1293163114.98,97.0636,6.6507,0,1332758.0864,136276323.79999998,1.0,1.5,PASS,False,0.47058823529411764,11.88,2.15,8.78,3.1000000000000014,,26.65,3.0099,6.6507,2.243265993265993,129.15708533333333,10.0,0.0,26.0,30.29,True,0,50.0,,0.39473684210526316,0,1,40.0,23,-1.57826563446699,False,-5.420152782830112,,0.005064342428358612,False,False,汽车零部件,3.1000000000000014,False,0.1272502547678137,50.0,45.0,1.0,0.0,55.0,Tier1,,,可直接观察,回测跳过,20250930
000586.SZ,000586,汇源通信,19951220,,主板,L,150432038.9,14.522821576763478,通信设备,通信,801102.SI,730000,13.8,,517.6492,8.0297,3.6681,266947.2,266947.2,174299966.60000002,True,1,0,False,False,14.33,11.73,3.1390134529148073,23.434704830053676,-3.6985345429169536,False,14.522821576763478,2.3211384809203484,217.6992,,7470370.01,87.1374,,,-7094097.68,18.3144,2.6125,0,266947.2,174299966.60000002,1.0,1.5,PASS,False,0.8823529411764706,217.6992,,7.525,217.6992,ESP-Q,,8.0297,2.6125,,113.20424499999999,0.0,0.0,13.8,14.33,False,0,50.0,,0.84,1,1,100.0,8,10.653909423827645,True,3.1390134529148073,,0.01900086058519793,False,False,通信设备,200.0,True,0.9004828670288583,50.0,75.0,0.7,0.0,52.5,Tier1,,esp_raw_cap_200,可直接观察,回测跳过,20250930
