ts_code,symbol,name,list_date,delist_date,market,list_status,avg_amount_20d,pct_20d,l2_name,l1_name,l2_code,l1_code,close,pe,pe_ttm,pb,turnover_rate,total_mv,circ_mv,avg_amount_5d,vol_confirm,limit_20d,limit_10d,is_lock,is_breakout,high_20d,low_20d,pct_5d,pct_60d,drawdown_20d,has_crash_veto,pct_20d_n,market_med_20d,q0_dt_yoy,q1_dt_yoy,q0_profit_dedt,q0_dt_profit_ratio,q0_net_income,ttm_net_income,ttm_profit_dedt,ttm_ocf_ratio,roe,reduce_deduct,total_mv_n,avg_amt_5d_n,l1_leader,l1_score,l1_flag,itf_adj,l2_pe_mkt_pct,q0_dt_yoy_n,q1_dt_yoy_n,ind_med,esp_raw,l2_flags,pe_n,pb_n,roe_n,peg_n,pe_mean,val_bonus,val_penalty,close_n,high_20d_n,vol_shrink,reduce_penalty,cat_score,cat_flag,mom_rank,l4_mom_ok,l4_rel_ok,l4_score,ind_mom_cnt,alpha_excess,alpha_flag,pct_5d_n,l4_flag,big_ratio,chasing_high,overheat_flag,z_group,esp_raw_w,esp_z,esp_score,egs_base,mult,deduct,final_score,tier,entry_flag,cninfo_flag,run_date
603993.SH,603993,洛阳钼业,20121009,,主板,L,2370951888.750001,11.929307805596467,工业金属,有色金属,801055.SI,240000,7.6,12.0746,12.0746,2.3565,1.0024,16339422.8704,13349987.1904,2131902551.3999999,True,0,0,False,False,8.39,6.68,-5.940594059405946,11.436950146627556,-9.415971394517298,False,11.929307805596467,-0.8797653958944385,110.48,530.97,13118825942.69,96.9464,,,29387473436.38,128.1826,20.7287,0,16339422.8704,2131902551.3999999,1.0,1.5,PASS,False,0.2,110.48,530.97,11.18,110.48000000000002,,12.0746,2.3565,20.7287,0.10929217958001448,30.46057037037037,10.0,0.0,7.6,8.39,False,0,50.0,,0.9032258064516129,1,1,100.0,10,6.875060650264353,True,-5.940594059405946,,-0.0277888032714141,False,False,工业金属,110.48000000000002,2.5946328957603555,82.0,81.4,1.0,0.0,91.4,Tier1,可直接观察,回测跳过,20250331
601991.SH,601991,大唐发电,20061220,,主板,L,280887807.8,6.498194945848379,电力,公用事业,801161.SI,410000,2.95,12.1155,12.1155,1.8025,1.5091,5459479.5987,3656846.2863,385512886.4,True,0,0,False,False,3.04,2.72,-2.640264026402628,0.6825938566553003,-2.960526315789469,False,6.498194945848379,-0.8797653958944385,695.69,100.04,4504410000.0,99.9607,,,12003735000.0,291.2655,6.0021,0,5459479.5987,385512886.4,1.0,1.5,PASS,False,0.14,695.69,100.04,0.94,695.69,,12.1155,1.8025,6.0021,0.017415084304790926,21.66315625,0.0,0.0,2.95,3.04,False,0,50.0,,0.7575757575757576,1,1,100.0,10,3.0499190837794066,False,-2.640264026402628,,-0.020138054520664448,False,False,电力,178.58489999999975,4.7622449302043925,100.0,85.0,1.0,0.0,85.0,Tier1,可直接观察,回测跳过,20250331
600660.SH,600660,福耀玻璃,19930610,,主板,L,874987362.5999999,5.095998564507442,汽车零部件,汽车,801093.SI,280000,58.57,20.3859,20.3859,4.2823,0.6572,15285267.8669,11731490.9465,609274557.2,True,0,0,False,False,61.5,55.0,1.2796126577900857,-4.980532121998705,-4.76422764227642,False,5.095998564507442,-0.8797653958944385,34.71,36.65,7445999659.0,99.3068,,,18090833873.0,94.3486,22.3418,0,15285267.8669,609274557.2,1.0,1.5,PASS,False,0.54,34.71,36.65,19.544999999999998,34.71,,20.3859,4.2823,22.3418,0.5873206568712186,92.28904428571428,10.0,0.0,58.57,61.5,True,0,50.0,,0.7733333333333333,1,1,100.0,23,5.668829988402702,True,1.2796126577900857,,-0.011920356367409195,False,False,汽车零部件,34.71,0.9773577667824189,50.0,75.0,1.0,0.0,85.0,Tier1,可直接观察,回测跳过,20250331
000423.SZ,000423,东阿阿胶,19960729,,主板,L,310212191.3500001,4.4221799965451725,中药,医药生物,801155.SI,370000,60.45,25.0022,25.0022,3.7757,0.9375,3892839.9011,3892839.9011,262037334.99999997,True,0,0,False,False,61.3,55.7,0.9519038076152286,-4.381524833913309,-1.3866231647634453,False,4.4221799965451725,-0.8797653958944385,33.17,52.33,1441714437.09,92.5956,,,3536862723.19,117.4206,14.808,0,3892839.9011,262037334.99999997,1.0,1.5,PASS,False,0.32,33.17,52.33,-21.62,76.41000000000001,,25.0022,3.7757,14.808,0.7537594211637021,64.67985,0.0,0.0,60.45,61.3,False,0,50.0,,1.0,1,1,100.0,5,4.318224937465426,False,0.9519038076152286,,-0.018215267962594036,False,False,中药,76.41000000000001,2.4417195842039865,82.0,81.4,1.0,0.0,81.4,Tier1,可直接观察,回测跳过,20250331
600941.SH,600941,中国移动,20220105,,主板,L,1525651962.8999996,0.5243445692883819,通信运营,通信,801223.SI,730000,107.36,16.7316,16.7316,1.7065,1.7107,231520693.6636,9692115.8201,1115915330.0,True,0,0,False,False,108.81,104.6,1.378659112370162,-6.317626527050601,-1.3325981067916604,False,0.5243445692883819,-0.8797653958944385,4.0,3.6,122715000000.0,88.6842,,,322353000000.0,179.1093,10.3916,0,231520693.6636,1115915330.0,1.0,1.5,PASS,False,0.94,4.0,3.6,27.81,-23.81,,16.7316,1.7065,10.3916,4.1829,136.91211111111113,10.0,0.0,107.36,108.81,True,0,50.0,,0.7,1,1,100.0,4,2.220115961335062,False,1.378659112370162,,0.002590456438849291,False,False,通信运营,-23.81,-0.6457804713782956,22.0,69.4,1.0,0.0,79.4,Tier1,可直接观察,回测跳过,20250331
002595.SZ,002595,豪迈科技,20110628,,主板,L,172271822.2,12.296015180265641,专用设备,机械设备,801074.SI,640000,59.18,23.5376,23.5376,4.7923,0.4191,4734400.0,4700582.0802,174114668.6,False,0,0,False,False,60.3,50.71,1.753782668500703,23.549060542797505,-1.8573797678275272,False,12.296015180265641,-0.8797653958944385,20.5,18.33,1886618876.58,93.7952,,,4517518806.42,49.672,21.7544,0,4734400.0,174114668.6,1.0,1.5,PASS,False,0.66,20.5,18.33,-3.085,26.67,,23.5376,4.7923,21.7544,1.1481756097560976,63.822139285714286,10.0,0.0,59.18,60.3,False,0,50.0,,0.8235294117647058,1,1,75.0,11,14.197061902907638,True,1.753782668500703,,-0.008428926933161128,False,False,专用设备,26.67,2.8033041495578765,82.0,68.9,1.0,0.0,78.9,Tier1,可直接观察,回测跳过,20250331
600362.SH,600362,江西铜业,20020111,,主板,L,895557940.6,10.081223124701388,工业金属,有色金属,801055.SI,240000,23.04,11.4592,11.4592,1.0236,1.8027,7978128.5491,4781370.0211,1598427688.2,True,0,0,False,False,25.33,20.72,-4.039983340274899,9.976133651551322,-9.040663245163838,False,10.081223124701388,-0.8797653958944385,54.22,44.28,8287226783.0,119.0318,,,21060118115.0,28.5651,9.5788,0,7978128.5491,1598427688.2,1.0,1.5,PASS,False,0.2,54.22,44.28,11.18,54.22,,11.4592,1.0236,9.5788,0.21134636665437107,30.46057037037037,0.0,0.0,23.04,25.33,False,0,50.0,,0.8387096774193549,1,1,100.0,10,5.026975969369274,True,-4.039983340274899,,-0.0024251081537827227,False,False,工业金属,54.22,1.122153103434554,68.0,78.6,1.0,0.0,78.6,Tier1,可直接观察,回测跳过,20250331
002906.SZ,002906,华阳集团,20171013,,主板,L,338447988.3500001,5.056513979773958,汽车零部件,汽车,801093.SI,280000,35.32,28.4629,28.4629,2.8708,2.812,1853971.6688,1853302.5032,294090103.5999999,True,0,0,False,False,37.15,32.76,1.319563970166393,12.44826488379498,-4.925975773889634,False,5.056513979773958,-0.8797653958944385,43.47,61.31,631613223.19,96.9676,,,1498210931.8200002,84.0256,10.4749,0,1853971.6688,294090103.5999999,1.0,1.5,PASS,False,0.54,43.47,61.31,19.544999999999998,43.47,,28.4629,2.8708,10.4749,0.654771106510237,92.28904428571428,0.0,0.0,35.32,37.15,False,0,50.0,,0.76,1,1,100.0,23,5.629345403669217,True,1.319563970166393,,0.0040395782095494475,False,False,汽车零部件,43.47,1.2550498324671924,68.0,78.6,1.0,0.0,78.6,Tier1,可直接观察,回测跳过,20250331
000915.SZ,000915,华特达因,19990609,,主板,L,268927194.25000006,9.280742459396762,化学制药,医药生物,801151.SI,370000,28.26,12.8438,12.8438,2.2744,2.581,662220.7766,661845.9077,214222408.8,True,1,0,False,False,30.94,25.17,-1.6016713091921875,3.935270319970585,-8.661926308985135,False,9.280742459396762,-0.8797653958944385,-13.97,-20.93,490931743.38,95.2165,,,1316504535.7,78.8386,17.497,0,662220.7766,214222408.8,1.0,1.5,PASS,False,0.3,-13.97,-20.93,12.88,-26.85,,12.8438,2.2744,17.497,,46.22062105263158,10.0,0.0,28.26,30.94,True,0,50.0,,0.7142857142857143,1,1,100.0,7,4.884110092698912,False,-1.6016713091921875,,0.007299703485723247,False,False,化学制药,-26.85,-2.030267441703676,12.0,67.4,1.0,0.0,77.4,Tier1,可直接观察,回测跳过,20250331
600211.SH,600211,XD西藏药,19990721,,主板,L,212854531.75,8.771428571428563,生物制品,医药生物,801152.SI,370000,38.07,11.6721,11.6721,3.201,1.5069,1227069.1792,1227069.1792,193946104.2,True,1,0,False,False,40.0,34.71,-0.5745625489683936,1.2499999999999956,-4.825000000000001,False,8.771428571428563,-0.8797653958944385,9.45,-6.22,858700122.54,81.6807,,,2303578591.14,85.7246,28.9515,0,1227069.1792,193946104.2,1.0,1.5,PASS,False,0.34,9.45,-6.22,40.125,-30.675,,11.6721,3.201,28.9515,1.2351428571428573,22.487566666666666,10.0,0.0,38.07,40.0,False,0,50.0,,0.8333333333333334,1,1,100.0,2,7.580236977143063,True,-0.5745625489683936,,-0.008362630986107813,False,False,生物制品,-30.675,-1.8670763096141567,12.0,67.4,1.0,0.0,77.4,Tier1,可直接观察,回测跳过,20250331
