ts_code,symbol,name,list_date,delist_date,market,list_status,avg_amount_20d,pct_20d,l2_name,l1_name,l2_code,l1_code,close,pe,pe_ttm,pb,turnover_rate,total_mv,circ_mv,avg_amount_5d,vol_confirm,limit_20d,limit_10d,is_lock,is_breakout,high_20d,low_20d,pct_5d,pct_60d,drawdown_20d,has_crash_veto,pct_20d_n,market_med_20d,q0_dt_yoy,q1_dt_yoy,q0_profit_dedt,q0_dt_profit_ratio,q0_net_income,ttm_net_income,ttm_profit_dedt,ttm_ocf_ratio,roe,reduce_deduct,total_mv_n,avg_amt_5d_n,l1_leader,l1_score,l1_flag,itf_adj,l2_pe_mkt_pct,q0_dt_yoy_n,q1_dt_yoy_n,ind_med,esp_raw,l2_flags,pe_n,pb_n,roe_n,peg_n,pe_mean,val_bonus,val_penalty,close_n,high_20d_n,reduce_penalty,cat_score,cat_flag,mom_rank,l4_mom_ok,l4_rel_ok,l4_score,ind_mom_cnt,alpha_excess,alpha_flag,pct_5d_n,l4_flag,big_ratio,chasing_high,overheat_flag,z_group,esp_raw_w,esp_z,esp_score,egs_base,mult,deduct,final_score,tier
003010.SZ,003010,若羽臣,20200925,,主板,L,209268042.39999998,-11.439588688946023,未知,未知,,,27.13,43.4104,35.2636,10.6622,2.6013,843904.3584,613523.7398,154984768.4,True,0,0,False,False,33.0,27.51,-4.172461752433943,-12.784810126582292,-16.48484848484849,False,-11.439588688946023,-3.057119871279157,167.45,78.43,67403755.41,93.1844,,,428080803.33,-34.4846,9.5765,0,843904.3584,154984768.4,1.0,1.5,PASS,False,0.2857142857142857,167.45,78.43,0.94,167.45,ESP-Q,43.4104,10.6622,9.5765,0.2592439534189311,103.77863651732882,0.0,0.0,27.13,33.0,0,88.77434135166094,,0.20069686411149826,0,0,5.0,431,-8.281693952103897,False,-4.172461752433943,,-0.02238190165904404,False,False,独立池,167.45,0.0,25.711290934506497,34.27456059239958,0.7,0.0,23.99,Other
001210.SZ,001210,金房能源,20210729,,主板,L,200312608.4,38.20754716981132,未知,未知,,,29.77,34.7311,34.0429,3.1664,12.5595,466831.3365,283705.248,448663732.4,True,2,2,False,False,31.35,19.0,-3.0122476001324117,24.46898895497027,-6.539074960127589,False,38.20754716981132,-3.057119871279157,3.76,54.33,131160718.93,98.8398,,,465264493.1,-81.3592,9.425,0,466831.3365,448663732.4,1.0,1.5,PASS,False,0.2857142857142857,3.76,54.33,0.94,3.76,ESP-Q,34.7311,3.1664,9.425,9.236994680851064,103.77863651732882,0.0,0.0,29.77,31.35,0,50.0,COV-LOW,0.9679442508710802,1,1,100.0,431,41.365441906653444,True,-3.0122476001324117,,-0.015788578194608913,True,False,独立池,3.76,0.0,23.460855791720107,69.69217115834402,0.7,0.0,48.78,Other
603937.SH,603937,丽岛新材,20171102,,主板,L,275964888.45000005,17.56329113924049,未知,未知,,,15.4,,1381.0539,2.0788,4.7648,321691.4039,321691.4039,182459152.39999998,True,5,1,False,True,18.88,12.13,-6.423173803526461,10.07407407407408,-21.292372881355938,False,17.56329113924049,-3.057119871279157,254.8577,,22832560.69,88.157,,,-5238416.789999999,566.1944,1.6552,0,321691.4039,182459152.39999998,1.0,1.5,PASS,False,0.2857142857142857,254.8577,,0.94,254.8577,ESP-Q,,2.0788,1.6552,,103.77863651732882,0.0,0.0,15.4,18.88,0,50.0,COV-LOW,0.8829268292682927,1,1,100.0,431,20.721185876082618,True,-6.423173803526461,突破型,-0.011866198337468005,True,False,独立池,254.8577,0.0,26.91298535585252,70.38259707117051,0.7,0.0,49.27,Other
600933.SH,600933,爱柯迪,20171117,,主板,L,358439621.15000004,3.36680448907265,未知,未知,,,17.61,15.4854,16.0088,1.8447,1.853,1814064.7501,1727562.6744,434680183.0,True,0,0,False,False,18.25,15.92,-0.7936507936508019,-5.761981690899298,-4.109589041095896,False,3.36680448907265,-3.057119871279157,-17.78,26.96,194072295.9,88.6356,,,2159624115.06,164.5187,2.2252,0,1814064.7501,434680183.0,1.0,1.5,PASS,False,0.2857142857142857,-17.78,26.96,0.94,-18.720000000000002,,15.4854,1.8447,2.2252,,103.77863651732882,0.0,0.0,17.61,18.25,0,83.39060710194731,,0.6815331010452962,0,1,55.0,431,6.524699225914777,True,-0.7936507936508019,,-0.012266439400843921,False,False,独立池,-18.720000000000002,0.0,23.151797315271708,57.147541593638536,1.0,0.0,57.15,Tier2
601319.SH,601319,中国人保,20181116,,主板,L,470457706.8,-4.502046384720327,未知,未知,,,6.95,6.5891,7.2131,0.9624,0.1232,30735673.4552,24670940.8252,501171191.20000005,True,0,0,False,False,7.52,6.8,0.5747126436781658,-20.182440136830103,-6.914893617021267,False,-4.502046384720327,-3.057119871279157,-28.3,10.0,9184000000.0,104.1979,,,129734000000.0,121.1045,2.8055,0,30735673.4552,501171191.20000005,1.0,1.5,PASS,False,0.2857142857142857,-28.3,10.0,0.94,-29.240000000000002,,6.5891,0.9624,2.8055,,103.77863651732882,10.0,0.0,6.95,7.52,0,69.87399770904925,,0.45993031358885017,0,0,5.0,431,-1.3441516478782005,False,0.5747126436781658,,-0.0010359139092496216,False,False,独立池,-29.240000000000002,0.0,23.007166747111693,28.063632662137113,1.0,0.0,38.06,Other
002947.SZ,002947,恒铭达,20190201,,主板,L,1224634620.05,22.72727272727275,未知,未知,,,89.4,43.0613,39.828,7.3645,4.547,2290511.4638,1772835.5071,1121856254.0,True,0,0,False,False,95.06,70.35,8.881578947368428,82.38775510204081,-5.985693246370715,False,22.72727272727275,-3.057119871279157,34.82,15.33,138736273.21,91.6442,,,1275202979.06,118.9844,4.7686,0,2290511.4638,1121856254.0,1.0,1.5,PASS,False,0.2857142857142857,34.82,15.33,0.94,34.82,,43.0613,7.3645,4.7686,1.2366829408385986,103.77863651732882,0.0,0.0,89.4,95.06,0,88.31615120274914,CHASE,0.9142857142857143,1,1,100.0,431,25.88516746411488,True,8.881578947368428,OVERHEAT,0.01770999447175475,True,True,独立池,34.82,0.0,23.887873419766688,81.27242004477807,1.0,0.0,81.27,Tier2
603613.SH,603613,国联股份,20190730,,主板,L,410148137.0499999,-10.242872228088707,未知,未知,,,25.17,13.7169,13.6725,1.9346,2.4338,1813593.6753,1813593.6753,363391071.2,False,0,0,False,False,29.65,25.42,-5.485544848035584,-5.133928571428569,-13.99662731871838,False,-10.242872228088707,-3.057119871279157,-10.0,-3.03,239703660.23,87.482,,,2602125323.38,-126.4943,2.9663,0,1813593.6753,363391071.2,1.0,1.5,PASS,False,0.2857142857142857,-10.0,-3.03,0.94,-10.94,ESP-Q,13.7169,1.9346,2.9663,,103.77863651732882,10.0,0.0,25.17,29.65,0,79.49599083619702,,0.2445993031358885,0,0,5.0,431,-7.0849774912465815,False,-5.485544848035584,,0.009647105263483955,False,False,独立池,-10.94,0.0,23.25875794457636,31.00054883977438,0.7,0.0,31.7,Other
002967.SZ,002967,广电计量,20191108,,主板,L,306450320.45,-4.066130473637175,未知,未知,,,22.05,33.0996,32.1818,2.8556,1.9699,1405202.2942,1206634.8537,296962965.4,False,0,0,False,False,23.19,21.31,-1.8289894833104836,-6.975736568457536,-7.416990081931873,False,-4.066130473637175,-3.057119871279157,657.62,20.84,8915258.7,52.6565,,,694253677.13,-14966.4814,0.3969,0,1405202.2942,296962965.4,1.0,1.5,PASS,False,0.2857142857142857,657.62,20.84,0.94,657.62,ESP-Q,33.0996,2.8556,0.3969,0.05033241081475624,103.77863651732882,0.0,0.0,22.05,23.19,0,67.81214203894616,,0.47735191637630664,0,0,5.0,431,-0.9082357367950489,False,-1.8289894833104836,,-0.013942998026283626,False,False,独立池,657.62,0.0,32.45022302528544,29.333687216740934,0.7,0.0,20.53,Other
001330.SZ,001330,博纳影业,20220818,,主板,L,1116089689.5999997,7.248018120045296,未知,未知,,,9.32,,,3.3705,8.7029,1281051.6931,1083773.7041,1081111659.8,False,0,0,False,False,10.13,7.74,3.49726775956285,-17.5805047867711,-6.515301085883518,False,7.248018120045296,-3.057119871279157,94.55,-46.08,-53667352.17,,,,-3725487102.92,,-1.1618,0,1281051.6931,1081111659.8,1.0,1.5,PASS,False,0.2857142857142857,94.55,-46.08,0.94,94.55,ESP-Q,,3.3705,-1.1618,,103.77863651732882,0.0,0.0,9.32,10.13,0,50.0,COV-LOW,0.7470383275261324,1,1,75.0,431,10.405912856887422,True,3.49726775956285,,0.00047922248775521774,False,False,独立池,94.55,0.0,24.709050590507914,57.441810118101586,0.7,0.0,40.21,Other
603068.SH,603068,博通集成,20190415,,主板,L,158777372.05,11.323039660914326,未知,未知,,,37.91,258.7598,261.8146,3.278,3.6449,575425.7263,575425.7263,212488500.39999995,False,0,0,False,False,39.01,32.61,-1.8419647624132396,-3.211371413529873,-5.742117405793379,False,11.323039660914326,-3.057119871279157,414.06,35.24,13723561.24,84.5395,,,-47043768.42,272.9563,0.9406,0,575425.7263,212488500.39999995,1.0,1.5,PASS,False,0.2857142857142857,414.06,35.24,0.94,414.06,,258.7598,3.278,0.9406,0.6249331014828768,103.77863651732882,0.0,10.0,37.91,39.01,0,90.37800687285224,,0.8090592334494774,1,1,75.0,431,14.480934397756451,True,-1.8419647624132396,,-0.009407968373665586,False,False,独立池,414.06,0.0,29.101722913018023,70.43374664445928,1.0,10.0,60.43,Tier2
