ts_code,name,l2_name,final_score,tier,pct_20d_n,pct_5d_n,pct_60d,drawdown_20d,cat_score,l4_score,esp_score,l4_flag,cninfo_flag,entry_flag
605566.SH,福莱蒽特,化学制品,59.81,Tier1,13.022556390977446,5.236628395407439,17.437499999999993,-2.7180947450168413,50.0,100.0,24.029685616588985,,回测跳过,可直接观察
603298.SH,杭叉集团,未知,90.28,Tier2,6.115384615384611,-1.9196587273373589,-8.793388429752069,-8.581842279655405,85.2233676975945,100.0,23.55805523248924,,未检查,可直接观察
600415.SH,小商品城,未知,90.09,Tier2,9.635627530364378,-1.5272727272727327,-9.853528628495345,-5.710306406685239,84.5360824742268,100.0,23.66859038153929,,未检查,可直接观察
603738.SH,泰晶科技,元件,88.42,Tier2,35.938852033458325,-15.203310543360915,164.77528089887642,-19.131777625257374,94.73081328751431,100.0,50.0,突破型,未检查,追高风险，周一确认
603259.SH,药明康德,未知,87.08,Tier2,5.763571790969069,1.0666149520023316,4.053109713487069,-8.969432314410476,73.8831615120275,100.0,24.557958390500445,,未检查,可直接观察
601838.SH,成都银行,未知,87.07,Tier2,6.052036199095023,0.1602564102564097,16.09907120743035,-2.5974025974025983,74.5704467353952,100.0,23.479553279619118,,未检查,可直接观察
603978.SH,深圳新星,未知,86.91,Tier2,27.598425196850386,-4.395280235988208,25.717610550814562,-6.545559400230694,89.69072164948454,100.0,50.0,,未检查,追高风险，周一确认
600578.SH,京能电力,未知,85.41,Tier2,49.81684981684982,16.69044222539229,57.30769230769231,-3.5377358490566113,69.0721649484536,100.0,23.452881863057293,突破型|OVERHEAT,未检查,追高风险，周一确认
002034.SZ,旺能环境,未知,85.02,Tier2,7.841140529531554,-8.033000434216241,23.426573426573416,-11.008403361344543,67.81214203894616,100.0,23.394177250315536,,未检查,可直接观察
002859.SZ,洁美科技,未知,84.75,Tier2,16.920111372885003,5.979421471558921,23.506787330316747,-6.651846785225713,99.7709049255441,100.0,24.06866162996671,,未检查,追高风险，周一确认
002484.SZ,江海股份,未知,84.48,Tier2,55.57735426008967,14.077270859021795,78.03078896728672,-7.467911318553099,99.19816723940436,100.0,23.581977018477684,OVERHEAT,未检查,追高风险，周一确认
002249.SZ,大洋电机,未知,84.27,Tier2,4.453870625662781,-0.6054490413723523,-8.542246982358403,-3.9024390243902474,65.2348224513173,100.0,23.482027947135165,,未检查,可直接观察
600761.SH,安徽合力,未知,84.25,Tier2,8.030040439052577,-5.3643724696356365,-18.58946451893775,-12.0,65.2348224513173,100.0,23.40916273694048,,未检查,可直接观察
000651.SZ,格力电器,未知,84.25,Tier2,5.283121105391508,-3.5253227408143073,1.1189175123601292,-4.941291585127205,65.2348224513173,100.0,23.392527471971505,,未检查,可直接观察
002489.SZ,浙江永强,未知,84.2,Tier2,17.804154302670618,-0.9975062344139585,6.434316353887404,-5.700712589073631,65.2348224513173,100.0,23.168432580240683,,未检查,追高风险，周一确认
