ts_code,symbol,name,list_date,delist_date,market,list_status,avg_amount_20d,pct_20d,l2_name,l1_name,l2_code,l1_code,close,pe,pe_ttm,pb,turnover_rate,total_mv,circ_mv,avg_amount_5d,vol_confirm,limit_20d,limit_10d,is_lock,is_breakout,high_20d,low_20d,pct_5d,pct_60d,drawdown_20d,has_crash_veto,pct_20d_n,market_med_20d,q0_dt_yoy,q1_dt_yoy,q0_profit_dedt,q0_dt_profit_ratio,q0_net_income,ttm_net_income,ttm_profit_dedt,ttm_ocf_ratio,roe,reduce_deduct,total_mv_n,avg_amt_5d_n,l1_leader,l1_score,l1_flag,itf_adj,l2_pe_mkt_pct,q0_dt_yoy_n,q1_dt_yoy_n,ind_med,esp_raw,l2_flags,pe_n,pb_n,roe_n,peg_n,pe_mean,val_bonus,val_penalty,close_n,high_20d_n,vol_shrink,reduce_penalty,cat_score,cat_flag,mom_rank,l4_mom_ok,l4_rel_ok,l4_score,ind_mom_cnt,alpha_excess,alpha_flag,pct_5d_n,l4_flag,big_ratio,chasing_high,overheat_flag,z_group,esp_raw_w,esp_z,esp_score,egs_base,mult,deduct,final_score,tier,entry_flag,cninfo_flag,run_date
000538.SZ,000538,云南白药,19931215,,主板,L,410350056.5,6.985948941223041,中药,医药生物,801155.SI,370000,54.06,23.5619,21.6534,2.4501,0.6459,9645723.6318,9565376.5892,459253806.3999999,True,0,0,False,False,54.7,50.27,0.33407572383072903,-0.09240436148585385,-1.1700182815356452,False,6.985948941223041,-1.387948544346651,20.51,16.45,1690411601.12,99.3231,,,12044279175.75,27.4794,4.1786,0,9645723.6318,459253806.3999999,1.0,1.5,PASS,False,0.5555555555555556,20.51,16.45,0.265,20.51,,23.5619,2.4501,4.1786,1.1488005850804486,39.58251428571429,0.0,0.0,54.06,54.7,False,0,50.0,,0.9230769230769231,1,1,100.0,4,10.844069663064992,True,0.33407572383072903,,-0.027311935738189554,False,False,中药,20.51,0.5369155381949514,50.0,75.0,1.0,0.0,75.0,Tier1,可直接观察,回测跳过,20240830
002837.SZ,002837,英维克,20161229,,主板,L,227136884.45000002,2.9342167534311514,专用设备,机械设备,801074.SI,640000,21.75,46.7599,36.9303,6.2183,2.335,1608569.2523,1397157.7472,189127188.4,True,0,0,False,False,23.12,20.2,3.818615751789989,-5.311275576839347,-5.92560553633218,False,2.9342167534311514,-1.387948544346651,169.65,24.25,54307745.62,87.6282,,,638086956.47,88.2534,2.4539,0,1608569.2523,189127188.4,1.0,1.5,PASS,False,0.7111111111111111,169.65,24.25,12.915,169.65,,46.7599,6.2183,2.4539,0.27562569997052755,36.0935,0.0,0.0,21.75,23.12,False,0,50.0,,0.8333333333333334,1,1,100.0,2,10.58889489496746,True,3.818615751789989,,0.01623912629792959,False,False,专用设备,169.65,0.7662055169019012,50.0,75.0,1.0,0.0,75.0,Tier1,可直接观察,回测跳过,20240830
603160.SH,603160,汇顶科技,20161017,,主板,L,275665792.54999995,7.341001353179988,半导体,电子,801081.SI,270000,63.46,176.0917,47.0104,3.4787,1.7129,2906480.1462,2906480.1462,290371460.40000004,True,0,0,False,False,66.14,57.3,3.896529142108718,-0.6885758998435021,-4.05201088599939,False,7.341001353179988,-1.387948544346651,194.2184,115.3569,147566708.15,90.8663,,,94122767.12,115.6161,1.9934,0,2906480.1462,290371460.40000004,1.0,1.5,PASS,False,0.9777777777777777,194.2184,115.3569,33.416650000000004,194.2184,,176.0917,3.4787,1.9934,0.9066684721941897,137.6478,0.0,0.0,63.46,66.14,False,0,50.0,,0.9333333333333333,1,1,100.0,5,11.141105465621425,True,3.896529142108718,,0.01003800442371299,False,False,半导体,194.2184,-0.04251311699614942,32.0,71.4,1.0,0.0,71.4,Tier1,可直接观察,回测跳过,20240830
002938.SZ,002938,鹏鼎控股,20180918,,主板,L,538256076.6999999,5.760709010339715,元件,电子,801083.SI,270000,35.8,25.2527,25.4665,2.8421,1.4809,8300447.7213,8288097.7058,518686022.8,True,0,0,False,False,36.49,32.6,6.611078022632522,16.460637605725424,-1.8909290216497787,False,5.760709010339715,-1.387948544346651,24.78,-35.09,504088850.66,101.3721,,,6185705449.26,364.7006,1.6643,0,8300447.7213,518686022.8,1.0,1.5,PASS,False,0.7555555555555555,24.78,-35.09,21.38,3.400000000000002,,25.2527,2.8421,1.6643,1.0190758676351896,45.10617272727273,0.0,0.0,35.8,36.49,False,0,50.0,,0.7272727272727273,1,1,100.0,4,0.6702112727831722,False,6.611078022632522,,0.0033808121529861268,False,False,元件,3.400000000000002,-0.4504076948104944,32.0,71.4,1.0,0.0,71.4,Tier1,可直接观察,回测跳过,20240830
600027.SH,600027,华电国际,20050203,,主板,L,388471701.3999999,3.738317757009346,电力,公用事业,801161.SI,410000,5.55,12.5523,10.9933,1.3894,0.798,5676296.4288,4723231.7808,369303535.8,True,0,0,False,False,5.77,5.22,4.3233082706766846,-23.342541436464092,-3.812824956672445,False,3.738317757009346,-1.387948544346651,66.9,759.9285,1620710000.0,87.0314,,,11895012000.0,158.8599,2.5966,0,5676296.4288,369303535.8,1.0,1.5,PASS,False,0.37777777777777777,66.9,759.9285,11.82,66.9,,12.5523,1.3894,2.5966,0.18762780269058296,22.791841176470587,0.0,0.0,5.55,5.77,False,0,50.0,,0.9285714285714286,1,1,100.0,5,7.374741076337071,True,4.3233082706766846,,0.002319528329447602,False,False,电力,66.9,-0.21174344253026436,32.0,71.4,1.0,0.0,71.4,Tier1,可直接观察,回测跳过,20240830
000423.SZ,000423,东阿阿胶,19960729,,主板,L,356574034.7,3.96080883885761,中药,医药生物,801155.SI,370000,49.87,27.9049,23.6456,3.1378,1.4377,3211512.4213,3211512.4213,340645896.59999996,False,0,0,False,False,51.7,47.16,3.5076795350767798,-28.542771170654834,-3.5396518375241937,False,3.96080883885761,-1.387948544346651,54.79,54.7,328636170.06,92.9918,,,2601632838.08,155.7684,3.2549,0,3211512.4213,340645896.59999996,1.0,1.5,PASS,False,0.5555555555555556,54.79,54.7,0.265,54.79,,27.9049,3.1378,3.2549,0.5093064427815295,39.58251428571429,0.0,0.0,49.87,51.7,False,0,50.0,,0.7692307692307693,1,1,85.0,4,7.818929560699561,True,3.5076795350767798,,0.008572361085530618,False,False,中药,54.79,1.5678118778812855,68.0,71.1,1.0,0.0,71.1,Tier1,可直接观察,回测跳过,20240830
002273.SZ,002273,水晶光电,20080919,,主板,L,617899621.7,6.123662306777655,光学光电子,电子,801084.SI,270000,17.85,41.3542,29.2208,2.9101,4.7279,2482278.5145,2423875.4726,744583912.6,True,0,0,False,False,18.57,16.28,2.763385146804831,17.899603698811095,-3.8772213247172838,False,6.123662306777655,-1.387948544346651,170.77,2.72,169587813.7,94.9631,,,1168102232.07,195.6181,2.0537,0,2482278.5145,744583912.6,1.0,1.5,PASS,False,0.8,170.77,2.72,25.34,170.77,ESP-Q,41.3542,2.9101,2.0537,0.2421631434092639,107.46035,10.0,0.0,17.85,18.57,False,0,50.0,,0.75,1,1,100.0,3,1.0194512522868404,False,2.763385146804831,,-0.023027559419428766,False,False,光学光电子,170.77,1.140659946003516,68.0,78.6,0.7,0.0,65.02,Tier1,可直接观察,回测跳过,20240830
601058.SH,601058,赛轮轮胎,20110630,,主板,L,320348789.45,4.376012965964349,汽车零部件,汽车,801093.SI,280000,12.88,13.6995,10.0901,2.3756,1.575,4235073.1336,4235073.1336,427622548.6,True,0,0,False,False,13.2,11.86,6.358381502890187,-9.993011879804325,-2.4242424242424176,False,4.376012965964349,-1.387948544346651,176.54,135.64,1014867761.74,98.1784,,,7394160318.03,-8.8167,6.4421,0,4235073.1336,427622548.6,1.0,1.5,PASS,False,0.5333333333333333,176.54,135.64,41.135,176.54,ESP-Q,13.6995,2.3756,6.4421,0.07759997734224539,43.68024166666667,10.0,0.0,12.88,13.2,False,0,50.0,,0.7857142857142857,1,1,100.0,5,4.45654213774398,False,6.358381502890187,,0.03180255355084384,False,False,汽车零部件,176.54,0.787459115881253,50.0,75.0,0.7,0.0,62.5,Tier1,可直接观察,回测跳过,20240830
601601.SH,601601,中国太保,20071225,,主板,L,664862911.85,1.7857142857142794,保险,非银金融,801194.SI,490000,29.64,10.4614,8.3726,1.1074,1.085,28514692.0726,20288702.8726,889669207.6,True,0,0,False,False,30.16,26.83,2.4896265560165887,4.697986577181212,-1.7241379310344862,False,1.7857142857142794,-1.387948544346651,1.5,-27.2,11752000000.0,99.9405,,,80126000000.0,354.5125,4.6344,0,28514692.0726,889669207.6,1.0,1.5,PASS,False,0.13333333333333333,1.5,-27.2,-16.35,0.75,,10.4614,1.1074,4.6344,6.974266666666666,17.6001,10.0,0.0,29.64,30.16,False,0,50.0,,0.2,0,1,50.0,2,-3.0476190476190546,False,2.4896265560165887,,0.020269050563962426,False,False,全市场,0.75,0.9220317653133773,50.0,50.0,1.0,0.0,60.0,Tier1,可直接观察,回测跳过,20240830
000807.SZ,000807,云铝股份,19980408,,主板,L,312840772.0499999,4.317789291882557,工业金属,有色金属,801055.SI,240000,12.08,10.5903,8.4467,1.5255,1.3205,4189292.5452,4189222.776,448678062.1999999,True,0,0,False,False,12.22,11.27,3.3361847733105243,-19.19732441471571,-1.1456628477905073,False,4.317789291882557,-1.387948544346651,17.66,-9.69,1034965493.49,88.9428,,,8930436471.17,57.7561,4.4215,0,4189292.5452,448678062.1999999,1.0,1.5,PASS,False,0.26666666666666666,17.66,-9.69,6.47,17.66,ESP-Q,10.5903,1.5255,4.4215,0.5996772366930917,15.579913333333334,10.0,0.0,12.08,12.22,False,0,50.0,,0.8,1,1,100.0,5,1.756262420963406,False,3.3361847733105243,,0.020070738023812932,False,False,工业金属,17.66,-0.2654917085116515,32.0,71.4,0.7,0.0,59.98,Tier1,可直接观察,回测跳过,20240830
