rank,ts_code,event_count,sum_5d_csi1000_excess_pct,positive_contribution_share
170,601908.SH,1,-2.9979332518,
171,002632.SZ,1,-3.0963942369,
172,600814.SH,1,-3.1257629504,
173,001339.SZ,1,-3.158456424,
174,600362.SH,1,-3.2604609797,
175,000833.SZ,1,-3.2736739747,
176,600998.SH,1,-3.3759986748,
177,002395.SZ,1,-3.431001131,
178,002938.SZ,1,-3.4798418194,
179,000877.SZ,1,-3.4861450852,
180,002430.SZ,2,-3.542994342,
181,002009.SZ,1,-3.7000892692,
182,002482.SZ,1,-3.7328519248,
183,600487.SH,3,-3.7814456898,
184,000901.SZ,1,-3.8323380529,
185,002273.SZ,2,-3.8548262969,
186,600578.SH,2,-3.9089404553,
187,000791.SZ,1,-4.059414876,
188,002933.SZ,1,-4.06406277,
189,603306.SH,1,-4.1104555839,
190,603131.SH,1,-4.2138578543,
191,002861.SZ,1,-4.3564794284,
192,002648.SZ,2,-4.3740038787,
193,600499.SH,1,-4.5003171116,
194,600038.SH,1,-4.5504547971,
195,002397.SZ,1,-4.6658128241,
196,002324.SZ,1,-4.6940612302,
197,002837.SZ,1,-4.699330477,
198,000697.SZ,1,-4.6999661751,
199,002567.SZ,2,-4.7072190389,
200,002886.SZ,1,-4.8061842399,
201,002355.SZ,1,-4.8716937766,
202,002992.SZ,1,-4.9329298665,
203,002819.SZ,1,-4.9897308645,
204,001389.SZ,2,-4.9940433193,
205,002426.SZ,2,-4.9987206175,
206,600503.SH,1,-5.0436537874,
207,000977.SZ,1,-5.044251093,
208,002897.SZ,1,-5.0828247236,
209,601231.SH,1,-5.2631796592,
210,600866.SH,1,-5.4479747294,
211,600325.SH,1,-5.5053623245,
212,600111.SH,1,-5.562491017,
213,000953.SZ,1,-5.7312548546,
214,600660.SH,4,-6.0815331505,
215,000617.SZ,1,-6.0899464518,
216,603005.SH,1,-6.326210967,
217,603013.SH,1,-6.4244676874,
218,605589.SH,1,-6.5863075952,
219,001979.SZ,1,-6.6770734422,
220,600363.SH,1,-6.7179674181,
221,000887.SZ,1,-7.0351749639,
222,002703.SZ,1,-7.2538602163,
223,002916.SZ,1,-7.3752368715,
224,600744.SH,1,-7.8199654584,
225,600025.SH,2,-7.9100127272,
226,600160.SH,2,-8.4797398971,
227,603379.SH,1,-8.8803555506,
228,601377.SH,1,-8.9952378341,
229,000025.SZ,1,-9.4338954964,
230,002115.SZ,1,-9.4911750108,
231,603501.SH,2,-9.5185025819,
232,002769.SZ,1,-9.7236670236,
233,603809.SH,1,-9.8078790756,
234,603766.SH,2,-9.8557581149,
235,001359.SZ,1,-10.1257810523,
236,002371.SZ,3,-10.9611133438,
237,603607.SH,2,-11.1552689149,
238,002906.SZ,1,-11.5249661867,
239,600618.SH,1,-11.968646814,
240,000564.SZ,1,-14.5402388494,
241,002947.SZ,1,-16.6228188291,
242,002269.SZ,1,-19.7069677284,
243,002523.SZ,1,-20.8351693817,
