ts_code,symbol,name,list_date,delist_date,market,list_status,avg_amount_20d,pct_20d,l2_name,l1_name,l2_code,l1_code,close,pe,pe_ttm,pb,turnover_rate,total_mv,circ_mv,avg_amount_5d,vol_confirm,limit_20d,limit_10d,is_lock,is_breakout,high_20d,low_20d,pct_5d,pct_60d,drawdown_20d,has_crash_veto,pct_20d_n,market_med_20d,q0_dt_yoy,q1_dt_yoy,q0_profit_dedt,q0_dt_profit_ratio,q0_net_income,ttm_net_income,ttm_profit_dedt,ttm_ocf_ratio,roe,reduce_deduct,total_mv_n,avg_amt_5d_n,l1_leader,l1_score,l1_flag,itf_adj,l2_pe_mkt_pct,q0_dt_yoy_n,q1_dt_yoy_n,ind_med,esp_raw,l2_flags,pe_n,pb_n,roe_n,peg_n,pe_mean,val_bonus,val_penalty,close_n,high_20d_n,vol_shrink,reduce_penalty,cat_score,cat_flag,mom_rank,l4_mom_ok,l4_rel_ok,l4_score,ind_mom_cnt,alpha_excess,alpha_flag,pct_5d_n,l4_flag,big_ratio,chasing_high,overheat_flag,z_group,esp_raw_w,low_base_growth_flag,esp_z,esp_score,egs_base,mult,deduct,final_score,tier,downgrade_reasons,score_penalty_reasons,entry_flag,cninfo_flag,run_date
600309.SH,600309,万华化学,20010105,,主板,L,1213836229.95,5.381431105854517,化学制品,化工,801034.SI,220000,89.1,16.6363,16.5338,3.2045,0.3129,27975142.4377,27975142.4377,1205248310.6,True,0,0,False,False,92.64,83.31,5.531209285798866,22.054794520547926,-3.8212435233160646,False,5.381431105854517,-0.6575783398862667,4.06,-7.18,16438841961.03,97.7586,,,37177205805.96,131.4263,20.3211,0,27975142.4377,1205248310.6,1.0,1.5,PASS,False,0.75,4.06,-7.18,-19.64,2.03,,16.6363,3.2045,20.3211,4.097610837438424,43.121330769230774,10.0,0.0,89.1,92.64,False,0,50.0,,0.7058823529411765,1,1,100.0,6,5.43854132858439,True,5.531209285798866,,-0.008271026047255362,False,False,化学制品,2.03,False,0.40964953065200566,50.0,75.0,1.0,0.0,85.0,Tier1,,,可直接观察,回测跳过,20240430
000589.SZ,000589,贵州轮胎,19960308,,主板,L,529509902.1500001,9.726962457337862,汽车零部件,汽车,801093.SI,280000,6.43,11.3689,9.9925,1.1707,5.1959,946631.165,930135.553,406932343.2,True,0,0,False,False,6.98,5.34,-1.8320610687022953,11.053540587219345,-7.87965616045846,False,9.726962457337862,-0.6575783398862667,103.56,130.22,822893024.06,98.8282,,,1781198017.21,207.9533,12.3004,0,946631.165,406932343.2,1.0,1.5,PASS,False,0.625,103.56,130.22,24.03,103.56,,11.3689,1.1707,12.3004,0.10978080339899575,76.49248918918919,0.0,0.0,6.43,6.98,True,0,50.0,,0.8181818181818182,1,1,100.0,10,7.883051651162898,True,-1.8320610687022953,,-0.015249095218138718,False,False,汽车零部件,103.56,False,0.40880989154814873,50.0,75.0,1.0,0.0,75.0,Tier1,,,可直接观察,回测跳过,20240430
000999.SZ,000999,华润三九,20000309,,主板,L,400617148.00000006,14.731203367132185,中药,医药生物,801155.SI,370000,59.97,20.7721,19.3303,2.9127,0.6057,5926139.448,5867436.6621,382304417.4,False,0,0,False,False,62.48,50.33,2.024498128615182,7.762803234501359,-4.017285531370041,False,14.731203367132185,-0.6575783398862667,22.18,29.21,2710984203.99,95.0245,,,7973150658.32,111.6793,15.8599,0,5926139.448,382304417.4,1.0,1.5,PASS,False,0.5,22.18,29.21,19.43,2.75,,20.7721,2.9127,15.8599,0.9365238954012624,36.60200909090909,10.0,0.0,59.97,62.48,False,0,50.0,,0.9047619047619048,1,1,85.0,7,13.438686360329456,True,2.024498128615182,,-0.005125732403962187,False,False,中药,2.75,False,-0.14507825842040792,32.0,63.9,1.0,0.0,73.9,Tier1,,,可直接观察,回测跳过,20240430
600873.SH,600873,梅花生物,19950217,,主板,L,263441867.05,7.647628267182949,化学制品,化工,801034.SI,220000,11.12,9.9728,10.1291,2.2651,1.2732,3172301.09,3172301.09,245811762.60000002,True,0,0,False,False,11.33,9.61,5.203405865657507,8.487804878048767,-1.8534863195057483,False,7.647628267182949,-0.6575783398862667,-26.93,-37.99,3083801516.17,96.9459,,,7374919367.05,137.1203,22.9844,0,3172301.09,245811762.60000002,1.0,1.5,PASS,False,0.75,-26.93,-37.99,-19.64,-13.465,,9.9728,2.2651,22.9844,,43.121330769230774,10.0,0.0,11.12,11.33,False,0,50.0,,0.8823529411764706,1,1,100.0,6,7.704738489912821,True,5.203405865657507,,-0.011358283968327307,False,False,化学制品,-13.465,False,0.32144233552986257,50.0,75.0,1.0,0.0,85.0,Tier2,esp_raw_non_positive,,可直接观察,未检查,20240430
603067.SH,603067,振华股份,20160913,,主板,L,199942814.6,27.555555555555557,化学原料,化工,801033.SI,220000,11.48,15.7588,16.4899,2.0312,9.3999,584350.5586,580775.6866,237527156.2,True,2,1,False,False,11.51,8.7,7.390084190832558,26.850828729281773,-0.26064291920069316,False,27.555555555555557,-0.6575783398862667,-10.73,-6.27,382244672.31,103.0841,,,877608278.79,92.2272,13.9308,0,584350.5586,237527156.2,1.0,1.5,PASS,False,0.25,-10.73,-6.27,-41.785,-5.365,,15.7588,2.0312,13.9308,,38.110375,10.0,0.0,11.48,11.51,False,0,50.0,,0.9090909090909091,1,1,100.0,4,23.451883849292045,True,7.390084190832558,OVERHEAT,0.0182230100244953,True,True,化学原料,-5.365,False,-0.28657019157286323,32.0,71.4,1.0,0.0,81.4,Tier2,chasing_high|overheat|esp_raw_non_positive,,追高风险，周一确认,未检查,20240430
000921.SZ,000921,海信家电,19990713,,主板,L,277099806.1,22.793650793650787,白色家电,家用电器,801111.SI,330000,38.68,18.9211,16.7595,3.7522,1.4219,5368534.0112,3492151.8243,401325103.59999996,True,0,0,False,False,39.01,29.61,10.609093508721767,52.885375494071155,-0.845936939246339,False,22.793650793650787,-0.6575783398862667,160.07,165.99,2355069261.87,83.0032,,,6201623144.61,202.207,22.6096,0,5368534.0112,401325103.59999996,1.0,1.5,PASS,False,0.125,160.07,165.99,56.075,160.07,,18.9211,3.7522,22.6096,0.11820516024239396,15.827285714285713,0.0,0.0,38.68,39.01,False,0,50.0,,0.8571428571428571,1,1,100.0,3,11.513824329442546,True,10.609093508721767,OVERHEAT,-0.01768199895795204,True,True,全市场,160.07,False,1.2210402846349226,68.0,78.6,1.0,0.0,78.6,Tier2,chasing_high|overheat,,追高风险，周一确认,未检查,20240430
002597.SZ,002597,金禾实业,20110707,,主板,L,216500768.20000005,27.97711908476339,化学制品,化工,801034.SI,220000,24.61,19.9203,23.8533,1.9648,2.9421,1402708.667,1394596.4431,283409377.0,True,1,0,False,False,25.36,18.7,13.987957387679483,34.9232456140351,-2.9574132492113603,False,27.97711908476339,-0.6575783398862667,-64.75,-63.99,608382594.17,86.3981,,,1612182294.78,154.6938,9.9366,0,1402708.667,283409377.0,1.0,1.5,PASS,False,0.75,-64.75,-63.99,-19.64,-32.375,,19.9203,1.9648,9.9366,,43.121330769230774,0.0,0.0,24.61,25.36,False,0,50.0,,0.9411764705882353,1,1,100.0,6,28.034229307493263,True,13.987957387679483,OVERHEAT,0.0019785513097696173,True,True,化学制品,-32.375,False,0.21379483247986422,50.0,75.0,1.0,0.0,75.0,Tier2,chasing_high|overheat|esp_raw_non_positive,,追高风险，周一确认,未检查,20240430
600480.SH,600480,凌云股份,20030815,,主板,L,190955777.20000002,10.256410256410241,汽车零部件,汽车,801093.SI,280000,11.18,16.6472,13.6719,1.4472,6.2621,1051488.4024,1025167.3284,281872046.6000001,True,1,1,False,False,11.18,8.74,14.902363823227116,21.786492374727672,0.0,False,10.256410256410241,-0.6575783398862667,96.47,139.44,568988184.77,90.0825,,,1368933008.8,140.6056,9.3827,0,1051488.4024,281872046.6000001,1.0,1.5,PASS,False,0.625,96.47,139.44,24.03,96.47,,16.6472,1.4472,9.3827,0.17256349124080025,76.49248918918919,0.0,0.0,11.18,11.18,False,0,50.0,,0.8484848484848485,1,1,100.0,10,8.412499450235277,True,14.902363823227116,OVERHEAT,0.034346894828809926,False,True,汽车零部件,96.47,False,0.37024780294394183,50.0,75.0,1.0,0.0,75.0,Tier2,overheat,,追高风险，周一确认,未检查,20240430
603505.SH,603505,金石资源,20170503,,主板,L,182413825.40000004,6.530089628681179,化学制品,化工,801034.SI,220000,33.28,57.6867,53.6959,11.8795,1.3258,2012681.9914,2012681.9914,189923436.20000002,True,0,0,False,False,34.07,29.51,10.933333333333328,29.242718446601955,-2.3187555033754026,False,6.530089628681179,-0.6575783398862667,62.23,62.06,351193538.44,100.6577,,,723488356.37,1.7317,23.3662,0,2012681.9914,189923436.20000002,1.0,1.5,PASS,False,0.75,62.23,62.06,-19.64,101.51,,57.6867,11.8795,23.3662,0.9269918045958542,43.121330769230774,0.0,0.0,33.28,34.07,False,0,50.0,,0.8235294117647058,1,1,100.0,6,6.587199851411052,True,10.933333333333328,OVERHEAT,0.020421548898134734,False,True,化学制品,101.51,False,0.9759516778446994,50.0,75.0,1.0,0.0,75.0,Tier2,overheat,,追高风险，周一确认,未检查,20240430
002668.SZ,002668,TCL智家,20120416,,主板,L,417521958.45000005,30.902348578491967,白色家电,家用电器,801111.SI,330000,10.59,14.5955,13.643,7.054,4.4997,1148074.0023,1148074.0023,440491622.40000004,True,2,2,False,False,11.29,7.76,5.794205794205798,59.487951807228924,-6.200177147918506,False,30.902348578491967,-0.6575783398862667,67.36,74.93,713710136.16,90.7344,,,1857246415.35,156.566,69.7416,0,1148074.0023,440491622.40000004,1.0,1.5,PASS,False,0.125,67.36,74.93,56.075,11.284999999999997,,14.5955,7.054,69.7416,0.21667903800475058,15.827285714285713,0.0,0.0,10.59,11.29,False,0,50.0,,1.0,1,1,100.0,3,19.622522114283726,True,5.794205794205798,,-0.007110214234480936,True,False,全市场,11.284999999999997,False,-0.29293308526179956,32.0,71.4,1.0,0.0,71.4,Tier2,chasing_high,,追高风险，周一确认,未检查,20240430
